Amp	Real	Quad	Magnitude	Phase	Overflow
0	2046	3740	4263.06	1.07021	0
100	1644	3681	4031.44	1.15076	0
200	1230	2933	3180.47	1.17371	0
300	832	2187	2339.91	1.20727	0
400	455	1440	1510.17	1.26475	0
500	133	700	712.523	1.38303	0
600	-152	-18	153.062	-3.02372	0
700	-422	-825	926.666	-2.04361	0
800	-888	-1442	1693.49	-2.12276	0
900	-1390	-2059	2484.27	-2.1646	0
1000	-1898	-2655	3263.65	-2.19144	0
SourceAmp:	584	MinSinkAmp:	600	MinMagnitude:	153.062

Amp	Real	Quad	Magnitude	Phase	Overflow
500	-505	1056	1170.54	2.01687	0
510	109	623	632.463	1.39759	0
520	82	549	555.09	1.42253	0
530	56	471	474.317	1.45246	0
540	36	389	390.662	1.47851	0
550	17	297	297.486	1.51362	0
560	1	202	202.002	1.56585	0
570	-15	109	110.027	1.70755	0
580	-29	16	33.121	2.63743	0
590	-44	-77	88.6848	-2.08994	0
600	-60	-171	181.221	-1.90825	0
610	-78	-258	269.533	-1.86439	0
620	-102	-330	345.404	-1.87057	0
630	-133	-396	417.738	-1.89482	0
640	-165	-458	486.815	-1.91658	0
650	-200	-519	556.202	-1.93862	0
660	-237	-581	627.479	-1.95811	0
670	-276	-642	698.813	-1.97682	0
680	-316	-704	771.668	-1.9927	0
690	-359	-767	846.859	-2.00856	0
700	-401	-828	919.992	-2.0218	0
SourceAmp:	584	MinSinkAmp:	580	MinMagnitude:	33.121

Amp	Real	Quad	Magnitude	Phase	Overflow
570	-123	250	278.62	2.02802	0
571	-17	99	100.449	1.74085	0
572	-18	90	91.7824	1.76819	0
573	-20	81	83.4326	1.81287	0
574	-21	71	74.0405	1.85837	0
575	-23	62	66.1287	1.92603	0
576	-24	53	58.1808	1.996	0
577	-26	44	51.1077	2.1045	0
578	-27	35	44.2041	2.22787	0
579	-29	26	38.9487	2.41069	0
580	-30	18	34.9857	2.60117	0
581	-32	9	33.2415	2.86743	0
582	-34	-1	34.0147	-3.11219	0
583	-35	-10	36.4005	-2.86329	0
584	-37	-17	40.7185	-2.7109	0
585	-39	-26	46.8722	-2.55359	0
586	-40	-35	53.1507	-2.42276	0
587	-42	-44	60.8276	-2.33294	0
588	-44	-52	68.1175	-2.27305	0
589	-46	-60	75.6042	-2.22488	0
590	-47	-70	84.3149	-2.16209	0
SourceAmp:	584	MinSinkAmp:	581	MinMagnitude:	33.2415

