Amp	Real	Quad	Magnitude	Phase	Overflow
0	2148	3796	4361.6	1.05586	0
100	1711	3778	4147.39	1.14555	0
200	1303	3020	3289.1	1.16347	0
300	912	2267	2443.57	1.18831	0
400	542	1512	1606.21	1.2266	0
500	219	765	795.73	1.29198	0
600	-67	55	86.6833	2.45424	0
700	-341	-745	819.333	-2.00005	0
800	-808	-1368	1588.8	-2.10431	0
900	-1309	-1988	2380.26	-2.15309	0
1000	-1811	-2578	3150.52	-2.18319	0
SourceAmp:	607	MinSinkAmp:	600	MinMagnitude:	86.6833

Amp	Real	Quad	Magnitude	Phase	Overflow
500	-486	1121	1221.82	1.97988	0
510	192	689	715.252	1.29903	0
520	165	615	636.75	1.30868	0
530	138	538	555.417	1.3197	0
540	114	463	476.828	1.32938	0
550	92	382	392.922	1.33446	0
560	73	291	300.017	1.32501	0
570	57	200	207.964	1.29316	0
580	41	111	118.33	1.21697	0
590	23	24	33.2415	0.806672	0
600	4	-63	63.1269	-1.50739	0
610	-15	-148	148.758	-1.6718	0
620	-36	-233	235.765	-1.72409	0
630	-61	-308	313.982	-1.76632	0
640	-93	-371	382.479	-1.81641	0
650	-127	-434	452.2	-1.85548	0
660	-164	-497	523.359	-1.88953	0
670	-202	-559	594.378	-1.91755	0
680	-243	-622	667.782	-1.94324	0
690	-285	-685	741.923	-1.96507	0
700	-327	-746	814.521	-1.98391	0
SourceAmp:	607	MinSinkAmp:	590	MinMagnitude:	33.2415

Amp	Real	Quad	Magnitude	Phase	Overflow
580	-88	260	274.489	1.89716	0
581	35	112	117.341	1.26791	0
582	33	103	108.157	1.26074	0
583	32	95	100.245	1.24589	0
584	29	86	90.7579	1.24556	0
585	27	77	81.5966	1.23354	0
586	25	68	72.45	1.21849	0
587	24	60	64.622	1.19029	0
588	22	53	57.3847	1.17735	0
589	20	44	48.3322	1.14417	0
590	18	35	39.3573	1.09579	0
591	15	26	30.0167	1.04752	0
592	14	16	21.2603	0.851966	0
593	11	7	13.0384	0.566729	0
594	9	-2	9.21954	-0.218669	0
595	7	-10	12.2066	-0.96007	0
596	5	-18	18.6815	-1.29985	0
597	3	-28	28.1603	-1.46406	0
598	1	-35	35.0143	-1.54223	0
599	-1	-44	44.0114	-1.59352	0
600	-3	-53	53.0848	-1.62734	0
SourceAmp:	607	MinSinkAmp:	594	MinMagnitude:	9.21954

