Amp	Real	Quad	Magnitude	Phase	Overflow
0	-1	0	1	3.14159	0
100	0	0	0	0	0
200	0	0	0	0	0
300	-1	-1	1.41421	-2.35619	0
400	-1	0	1	3.14159	0
500	-1	-1	1.41421	-2.35619	0
600	-1	0	1	3.14159	0
700	-1	0	1	3.14159	0
800	-1	0	1	3.14159	0
900	-1	0	1	3.14159	0
1000	-1	0	1	3.14159	0
SourceAmp:	205	MinSinkAmp:	100	MinMagnitude:	0

Amp	Real	Quad	Magnitude	Phase	Overflow
0	-1	0	1	3.14159	0
10	0	-1	1	-1.5708	0
20	-1	-1	1.41421	-2.35619	0
30	0	-1	1	-1.5708	0
40	0	0	0	0	0
50	-1	-1	1.41421	-2.35619	0
60	-1	0	1	3.14159	0
70	0	0	0	0	0
80	0	-1	1	-1.5708	0
90	0	0	0	0	0
100	0	0	0	0	0
110	0	0	0	0	0
120	0	0	0	0	0
130	0	-1	1	-1.5708	0
140	-1	-1	1.41421	-2.35619	0
150	0	0	0	0	0
160	-1	0	1	3.14159	0
170	-1	0	1	3.14159	0
180	-1	0	1	3.14159	0
190	-1	0	1	3.14159	0
200	-1	0	1	3.14159	0
SourceAmp:	205	MinSinkAmp:	40	MinMagnitude:	0

Amp	Real	Quad	Magnitude	Phase	Overflow
30	0	-1	1	-1.5708	0
31	-1	-1	1.41421	-2.35619	0
32	0	0	0	0	0
33	0	-1	1	-1.5708	0
34	0	-1	1	-1.5708	0
35	0	-1	1	-1.5708	0
36	-1	0	1	3.14159	0
37	-1	-1	1.41421	-2.35619	0
38	0	0	0	0	0
39	0	-1	1	-1.5708	0
40	-1	0	1	3.14159	0
41	-1	0	1	3.14159	0
42	-1	0	1	3.14159	0
43	-1	-1	1.41421	-2.35619	0
44	-1	0	1	3.14159	0
45	0	-1	1	-1.5708	0
46	0	0	0	0	0
47	0	0	0	0	0
48	-1	0	1	3.14159	0
49	0	0	0	0	0
50	-1	0	1	3.14159	0
SourceAmp:	205	MinSinkAmp:	32	MinMagnitude:	0

