OffsetValue	AccumulatedValue	Overflow
-300	-108631
-200	-21575
-100	65608
0	152867
100	240126
200	327282
300	414228

-100	65616
-90	74558
-80	83236
-70	91665
-60	100662
-50	109362
-40	117726
-30	126788
-20	135520
-10	143750
0	152875
10	162017
20	170263
30	178946
40	188035
50	196385
60	205058
70	214085
80	222478
90	231167
100	240123

0	152885
1	153778
2	154694
3	155595
4	156523
5	157450
6	158388
7	159298
8	160181
9	161120
10	162015
11	162945
12	163827
13	164749
14	165672
15	166584
16	166798
17	167670
18	168557
19	169415
20	170261
GNDAccumulatedData	164185	MinAccumulatedData	163827	MinDCOffsetValue	12
