Ch	FreqNum	GIC_SW	CNTHigh	CNTLow	GAP	CCS_A	CCS_B	GIC1A	GIC1B	GIC2A	GIC2B	GIC3A	GIC3B	GIC4A	GIC4B	OffsetHigh	OffsetLow
5	19	4	0	0	5	104	93	127	143	127	143	127	143	127	143	0	9	
6	0	8	3	231	1	150	212	128	128	128	128	128	128	128	128	0	8	
6	1	8	0	199	1	92	219	128	128	128	128	128	128	128	128	0	16	
6	2	8	0	99	1	125	235	128	128	128	128	128	128	128	128	0	8	
6	3	8	0	9	1	104	225	128	128	128	128	128	128	128	128	0	8	
6	4	8	0	1	1	243	169	100	145	100	145	100	145	100	145	0	12	
6	5	8	0	0	1	161	163	129	189	129	189	129	189	129	189	0	7	
6	6	4	0	0	5	101	95	128	142	128	142	128	142	128	142	0	6	
6	7	4	0	0	10	114	111	128	55	128	55	128	55	128	55	0	6	
6	8	2	0	0	25	255	84	122	60	122	60	122	60	122	60	0	31	
6	9	1	0	0	40	240	84	163	50	163	50	163	50	163	50	0	31	
6	16	8	3	231	1	150	212	128	128	128	128	128	128	128	128	0	8	
6	17	8	0	9	1	104	225	128	128	128	128	128	128	128	128	0	8	
6	18	8	0	0	1	161	163	129	189	129	189	129	189	129	189	0	7	
6	19	4	0	0	5	101	95	128	142	128	142	128	142	128	142	0	6	
7	0	8	3	231	1	245	214	128	128	128	128	128	128	128	128	0	8	
7	1	8	0	199	1	200	220	128	128	128	128	128	128	128	128	0	16	
7	2	8	0	99	1	110	230	128	128	128	128	128	128	128	128	0	13	
7	3	8	0	9	1	152	219	128	128	128	128	128	128	128	128	0	13	
7	4	8	0	1	1	132	179	114	189	114	189	114	189	114	189	0	11	
7	5	8	0	0	1	149	161	123	169	123	169	123	169	123	169	0	12	
7	6	4	0	0	5	136	92	131	141	131	141	131	141	131	141	0	10	
7	7	4	0	0	10	112	108	131	53	131	53	131	53	131	53	0	10	
7	8	2	0	0	25	112	89	139	62	139	62	139	62	139	62	0	28	
7	9	1	0	0	40	1	161	72	180	72	180	72	180	72	180	1	56	
7	16	8	3	231	1	245	214	128	128	128	128	128	128	128	128	0	8	
7	17	8	0	9	1	152	219	128	128	128	128	128	128	128	128	0	13	
7	18	8	0	0	1	149	161	123	169	123	169	123	169	123	169	0	12	
7	19	4	0	0	5	136	92	131	141	131	141	131	141	131	141	0	10	
8	0	8	3	231	1	171	211	128	128	128	128	128	128	128	128	0	9	
8	1	8	0	199	1	143	217	128	128	128	128	128	128	128	128	0	17	
8	2	8	0	99	1	178	232	128	128	128	128	128	128	128	128	0	9	
8	3	8	0	9	1	132	222	128	128	128	128	128	128	128	128	0	10	
8	4	8	0	1	1	71	169	199	205	199	205	199	205	199	205	0	15	
8	5	8	0	0	1	98	163	128	175	128	175	128	175	128	175	0	9	
8	6	4	0	0	5	98	96	126	143	126	143	126	143	126	143	0	8	
8	7	4	0	0	10	164	112	132	56	132	56	132	56	132	56	0	7	
8	8	2	0	0	25	106	87	137	66	137	66	137	66	137	66	0	30	
8	9	1	0	0	40	14	95	248	65	248	65	248	65	248	65	0	29	
8	16	8	3	231	1	171	211	128	128	128	128	128	128	128	128	0	9	
8	17	8	0	9	1	132	222	128	128	128	128	128	128	128	128	0	10	
8	18	8	0	0	1	98	163	128	175	128	175	128	175	128	175	0	9	
8	19	4	0	0	5	98	96	126	143	126	143	126	143	126	143	0	8	
9	0	8	3	231	1	135	214	128	128	128	128	128	128	128	128	0	11	
9	1	8	0	199	1	111	221	128	128	128	128	128	128	128	128	0	19	
9	2	8	0	99	1	157	234	128	128	128	128	128	128	128	128	0	10	
9	3	8	0	9	1	126	224	128	128	128	128	128	128	128	128	0	10	
9	4	8	0	1	1	169	189	104	87	104	87	104	87	104	87	0	9	
9	5	8	0	0	1	116	163	131	182	131	182	131	182	131	182	0	9	
9	6	4	0	0	5	122	94	127	132	127	132	127	132	127	132	0	8	
9	7	4	0	0	10	106	109	127	47	127	47	127	47	127	47	0	7	
9	8	2	0	0	25	142	92	139	63	139	63	139	63	139	63	0	28	
9	9	1	0	0	40	240	97	188	52	188	52	188	52	188	52	0	37	
9	16	8	3	231	1	135	214	128	128	128	128	128	128	128	128	0	11	
9	17	8	0	9	1	126	224	128	128	128	128	128	128	128	128	0	10	
9	18	8	0	0	1	116	163	131	182	131	182	131	182	131	182	0	9	
9	19	4	0	0	5	122	94	127	132	127	132	127	132	127	132	0	8	
10	0	8	3	231	1	94	215	128	128	128	128	128	128	128	128	0	11	
10	1	8	0	199	1	99	221	128	128	128	128	128	128	128	128	0	19	
10	2	8	0	99	1	111	233	128	128	128	128	128	128	128	128	0	8	
10	3	8	0	9	1	102	223	128	128	128	128	128	128	128	128	0	9	
10	4	8	0	1	1	70	179	201	147	201	147	201	147	201	147	0	13	
10	5	8	0	0	1	121	162	129	187	129	187	129	187	129	187	0	8	
10	6	4	0	0	5	112	93	125	133	125	133	125	133	125	133	0	7	
10	7	4	0	0	10	100	108	130	47	130	47	130	47	130	47	0	6	
10	8	2	0	0	25	100	88	203	51	203	51	203	51	203	51	0	25	
10	9	1	0	0	40	4	102	109	55	109	55	109	55	109	55	0	28	
10	16	8	3	231	1	94	215	128	128	128	128	128	128	128	128	0	11	
10	17	8	0	9	1	102	223	128	128	128	128	128	128	128	128	0	9	
10	18	8	0	0	1	121	162	129	187	129	187	129	187	129	187	0	8	
10	19	4	0	0	5	112	93	125	133	125	133	125	133	125	133	0	7	
11	0	8	3	231	1	90	213	128	128	128	128	128	128	128	128	0	8	
11	1	8	0	199	1	180	219	128	128	128	128	128	128	128	128	0	16	
11	2	8	0	99	1	135	237	128	128	128	128	128	128	128	128	0	15	
11	3	8	0	9	1	127	226	128	128	128	128	128	128	128	128	0	15	
11	4	8	0	1	1	65	160	220	210	220	210	220	210	220	210	0	8	
11	5	8	0	0	1	110	164	125	188	125	188	125	188	125	188	0	14	
11	6	4	0	0	5	114	95	126	146	126	146	126	146	126	146	0	12	
11	7	4	0	0	10	108	110	131	54	131	54	131	54	131	54	0	12	
11	8	2	0	0	25	8	231	60	210	60	210	60	210	60	210	1	6	
11	9	1	0	0	40	17	106	250	91	250	91	250	91	250	91	0	37	
11	16	8	3	231	1	90	213	128	128	128	128	128	128	128	128	0	8	
11	17	8	0	9	1	127	226	128	128	128	128	128	128	128	128	0	15	
11	18	8	0	0	1	110	164	125	188	125	188	125	188	125	188	0	14	
11	19	4	0	0	5	114	95	126	146	126	146	126	146	126	146	0	12	
12	0	8	3	231	1	150	210	128	128	128	128	128	128	128	128	0	10	
12	1	8	0	199	1	91	217	128	128	128	128	128	128	128	128	0	18	
12	2	8	0	99	1	112	249	128	128	128	128	128	128	128	128	0	12	
12	3	8	0	9	1	120	238	128	128	128	128	128	128	128	128	0	13	
12	4	8	0	1	1	97	160	190	241	190	241	190	241	190	241	0	23	
12	5	8	0	0	1	142	173	133	181	133	181	133	181	133	181	0	12	
12	6	4	0	0	5	136	99	126	138	126	138	126	138	126	138	0	10	
12	7	4	0	0	10	131	115	130	49	130	49	130	49	130	49	0	10	
12	8	2	0	0	25	81	88	126	64	126	64	126	64	126	64	0	27	
12	9	1	0	0	40	236	95	147	57	147	57	147	57	147	57	0	29	
12	16	8	3	231	1	150	210	128	128	128	128	128	128	128	128	0	10	
12	17	8	0	9	1	120	238	128	128	128	128	128	128	128	128	0	13	
12	18	8	0	0	1	142	173	133	181	133	181	133	181	133	181	0	12	
12	19	4	0	0	5	136	99	126	138	126	138	126	138	126	138	0	10	
13	0	8	3	231	1	88	214	128	128	128	128	128	128	128	128	0	10	
13	1	8	0	199	1	163	219	128	128	128	128	128	128	128	128	0	18	
13	2	8	0	99	1	125	232	128	128	128	128	128	128	128	128	0	8	
13	3	8	0	9	1	150	221	128	128	128	128	128	128	128	128	0	9	
