Amp	Real	Quad	Magnitude	Phase	Overflow
0	-2287	-445	2329.89	-2.94942	0
100	-2196	-426	2236.94	-2.94998	0
200	-1635	-326	1667.18	-2.94479	0
300	-1038	-214	1059.83	-2.93828	0
400	-437	-99	448.074	-2.91881	0
500	159	14	159.615	0.0878238	0
600	759	124	769.062	0.161942	0
700	1362	233	1381.79	0.169432	0
800	1966	342	1995.52	0.172234	0
900	2565	453	2604.69	0.174806	0
1000	3166	569	3216.72	0.177824	0
SourceAmp:	500	MinSinkAmp:	500	MinMagnitude:	159.615

Amp	Real	Quad	Magnitude	Phase	Overflow
400	-435	-100	446.346	-2.91563	0
410	-376	-87	385.934	-2.91421	0
420	-317	-76	325.983	-2.90629	0
430	-258	-65	266.062	-2.89479	0
440	-198	-53	204.971	-2.88005	0
450	-139	-42	145.207	-2.84816	0
460	-79	-31	84.8646	-2.76765	0
470	-19	-19	26.8701	-2.35619	0
480	40	-8	40.7922	-0.197396	0
490	101	3	101.045	0.0296942	0
500	159	14	159.615	0.0878238	0
510	220	25	221.416	0.113151	0
520	278	36	280.321	0.12878	0
530	338	47	341.252	0.138167	0
540	398	58	402.204	0.14471	0
550	458	69	463.168	0.14953	0
560	518	80	524.141	0.15323	0
570	579	91	586.107	0.155892	0
580	637	102	645.115	0.158778	0
590	699	113	708.075	0.160273	0
600	760	124	770.049	0.161733	0
SourceAmp:	500	MinSinkAmp:	470	MinMagnitude:	26.8701

Amp	Real	Quad	Magnitude	Phase	Overflow
460	-79	-31	84.8646	-2.76765	0
461	-73	-30	78.924	-2.75167	0
462	-67	-28	72.6154	-2.74574	0
463	-61	-27	66.7083	-2.72489	0
464	-54	-26	59.9333	-2.69287	0
465	-48	-25	54.1202	-2.66142	0
466	-42	-23	47.8853	-2.64058	0
467	-36	-22	42.19	-2.59304	0
468	-31	-21	37.4433	-2.54618	0
469	-25	-20	32.0156	-2.46685	0
470	-19	-19	26.8701	-2.35619	0
471	-13	-18	22.2036	-2.19628	0
472	-6	-16	17.088	-1.92957	0
473	-1	-15	15.0333	-1.63736	0
474	5	-14	14.8661	-1.22777	0
475	11	-13	17.0294	-0.868539	0
476	15	-12	19.2094	-0.674741	0
477	21	-11	23.7065	-0.482513	0
478	27	-10	28.7924	-0.354706	0
479	33	-9	34.2053	-0.266252	0
480	40	-7	40.6079	-0.173246	0
SourceAmp:	500	MinSinkAmp:	474	MinMagnitude:	14.8661

