Amp	Real	Quad	Magnitude	Phase	Overflow
0	-1369	-136	1375.74	-3.04257	0
100	-762	-80	766.188	-3.03699	0
200	-141	-23	142.864	-2.9799	0
300	483	36	484.34	0.0743966	0
400	1104	93	1107.91	0.0840407	0
500	1722	151	1728.61	0.087465	0
600	2333	210	2342.43	0.0897709	0
700	2867	267	2879.41	0.0928609	0
800	3154	299	3168.14	0.0945178	0
900	3394	327	3409.72	0.09605	0
1000	3617	354	3634.28	0.0975605	0
SourceAmp:	198	MinSinkAmp:	200	MinMagnitude:	142.864

Amp	Real	Quad	Magnitude	Phase	Overflow
100	-750	-79	754.149	-3.03665	0
110	-700	-75	704.006	-3.03486	0
120	-638	-69	641.72	-3.03386	0
130	-575	-63	578.441	-3.03246	0
140	-514	-57	517.151	-3.03115	0
150	-451	-51	453.874	-3.02899	0
160	-387	-45	389.607	-3.02583	0
170	-326	-40	328.445	-3.0195	0
180	-262	-34	264.197	-3.01254	0
190	-201	-28	202.941	-3.00318	0
200	-140	-22	141.718	-2.98572	0
210	-76	-16	77.666	-2.9341	0
220	-15	-11	18.6011	-2.50884	0
230	49	-5	49.2544	-0.101689	0
240	112	1	112.004	0.00892833	0
250	174	7	174.141	0.0402082	0
260	235	12	235.306	0.0510195	0
270	297	18	297.545	0.060532	0
280	360	24	360.799	0.0665682	0
290	425	30	426.058	0.0704713	0
300	485	36	486.334	0.0740909	0
SourceAmp:	198	MinSinkAmp:	220	MinMagnitude:	18.6011

Amp	Real	Quad	Magnitude	Phase	Overflow
210	-74	-16	75.71	-2.92865	0
211	-69	-16	70.8308	-2.91374	0
212	-63	-15	64.7611	-2.90785	0
213	-57	-15	58.9406	-2.88427	0
214	-51	-14	52.8867	-2.87368	0
215	-44	-13	45.8803	-2.85431	0
216	-39	-13	41.1096	-2.81984	0
217	-32	-12	34.176	-2.78282	0
218	-26	-12	28.6356	-2.70918	0
219	-20	-11	22.8254	-2.63875	0
220	-14	-10	17.2047	-2.52134	0
221	-7	-10	12.2066	-2.18152	0
222	-1	-9	9.05539	-1.68145	0
223	5	-9	10.2956	-1.0637	0
224	13	-8	15.2643	-0.551655	0
225	20	-8	21.5407	-0.380506	0
226	26	-7	26.9258	-0.262995	0
227	33	-6	33.541	-0.179853	0
228	38	-6	38.4708	-0.156602	0
229	44	-5	44.2832	-0.113151	0
230	50	-4	50.1597	-0.07983	0
SourceAmp:	198	MinSinkAmp:	222	MinMagnitude:	9.05539

