OffsetValue	AccumulatedValue	Overflow
-300	-132838
-200	-42733
-100	50170
0	154915
100	259660
200	353958
300	443433

-100	50142
-90	60650
-80	70999
-70	81213
-60	91947
-50	102312
-40	112549
-30	123379
-20	133855
-10	144048
0	154810
10	165666
20	175876
30	186272
40	197134
50	207298
60	217755
70	228546
80	238744
90	249110
100	259586

0	154804
1	155913
2	157018
3	158091
4	159141
5	160277
6	161393
7	162408
8	163451
9	164568
10	165657
11	166726
12	167748
13	168856
14	169964
15	171072
16	171603
17	172648
18	173718
19	174808
20	175860
GNDAccumulatedData	162441	MinAccumulatedData	162408	MinDCOffsetValue	7
