Amp	Real	Quad	Magnitude	Phase	Overflow
0	181	1090	1104.93	1.40624	0
100	148	862	874.613	1.40076	0
200	114	632	642.199	1.39234	0
300	80	400	407.922	1.3734	0
400	44	170	175.602	1.31753	0
500	9	-60	60.6712	-1.42191	0
600	-28	-291	292.344	-1.66672	0
700	-63	-520	523.802	-1.69136	0
800	-97	-752	758.23	-1.69908	0
900	-132	-984	992.814	-1.70415	0
1000	-165	-1218	1229.13	-1.70544	0
SourceAmp:	505	MinSinkAmp:	500	MinMagnitude:	60.6712

Amp	Real	Quad	Magnitude	Phase	Overflow
400	44	169	174.634	1.3161	0
410	41	147	152.611	1.2988	0
420	37	125	130.361	1.28301	0
430	33	102	107.205	1.2579	0
440	29	78	83.2166	1.21484	0
450	26	56	61.7414	1.13613	0
460	23	33	40.2244	0.962107	0
470	19	9	21.0238	0.442374	0
480	16	-14	21.2603	-0.71883	0
490	13	-37	39.2173	-1.23292	0
500	9	-61	61.6604	-1.42431	0
510	6	-84	84.214	-1.49949	0
520	2	-107	107.019	-1.55211	0
530	-2	-130	130.015	-1.58618	0
540	-6	-153	153.118	-1.60999	0
550	-9	-176	176.23	-1.62189	0
560	-13	-199	199.424	-1.63603	0
570	-17	-222	222.65	-1.64722	0
580	-20	-244	244.818	-1.65258	0
590	-24	-268	269.072	-1.66011	0
600	-27	-291	292.25	-1.66331	0
SourceAmp:	505	MinSinkAmp:	470	MinMagnitude:	21.0238

Amp	Real	Quad	Magnitude	Phase	Overflow
460	22	32	38.833	0.968509	0
461	22	30	37.2022	0.938047	0
462	22	28	35.609	0.904827	0
463	22	25	33.3017	0.849141	0
464	21	23	31.1448	0.830821	0
465	21	20	29	0.761013	0
466	21	18	27.6586	0.708626	0
467	20	16	25.6125	0.674741	0
468	20	13	23.8537	0.576375	0
469	20	11	22.8254	0.502843	0
470	19	9	21.0238	0.442374	0
471	19	6	19.9249	0.305879	0
472	18	4	18.4391	0.218669	0
473	18	2	18.1108	0.110657	0
474	18	-1	18.0278	-0.0554985	0
475	17	-3	17.2627	-0.174672	0
476	17	-5	17.72	-0.286051	0
477	17	-8	18.7883	-0.439843	0
478	16	-10	18.868	-0.558599	0
479	16	-12	20	-0.643501	0
480	16	-14	21.2603	-0.71883	0
SourceAmp:	505	MinSinkAmp:	475	MinMagnitude:	17.2627

