Amp	Real	Quad	Magnitude	Phase	Overflow
0	128	1090	1097.49	1.4539	0
100	89	861	865.588	1.46779	0
200	48	630	631.826	1.49475	0
300	9	399	399.101	1.54824	0
400	-34	169	172.386	1.76933	0
500	-75	-63	97.949	-2.44293	0
600	-118	-293	315.869	-1.95365	0
700	-159	-523	546.635	-1.86593	0
800	-200	-756	782.008	-1.82942	0
900	-240	-989	1017.7	-1.80886	0
1000	-280	-1224	1255.62	-1.79568	0
SourceAmp:	497	MinSinkAmp:	500	MinMagnitude:	97.949

Amp	Real	Quad	Magnitude	Phase	Overflow
400	-34	167	170.426	1.77164	0
410	-38	145	149.897	1.8271	0
420	-43	123	130.3	1.90711	0
430	-47	99	109.59	2.01404	0
440	-52	76	92.0869	2.17085	0
450	-55	53	76.3806	2.37471	0
460	-59	30	66.1891	2.67119	0
470	-63	6	63.2851	3.04664	0
480	-68	-17	70.0928	-2.89661	0
490	-72	-41	82.8553	-2.62394	0
500	-75	-63	97.949	-2.44293	0
510	-80	-86	117.456	-2.32007	0
520	-84	-109	137.612	-2.22738	0
530	-88	-132	158.644	-2.1588	0
540	-93	-154	179.903	-2.11408	0
550	-97	-178	202.714	-2.06975	0
560	-101	-201	224.949	-2.03643	0
570	-105	-224	247.388	-2.00913	0
580	-109	-246	269.067	-1.98789	0
590	-114	-270	293.08	-1.97031	0
600	-118	-293	315.869	-1.95365	0
SourceAmp:	497	MinSinkAmp:	470	MinMagnitude:	63.2851

Amp	Real	Quad	Magnitude	Phase	Overflow
460	-60	29	66.6408	2.69137	0
461	-60	28	66.2118	2.70497	0
462	-60	25	65	2.7468	0
463	-61	23	65.192	2.78103	0
464	-61	20	64.195	2.82477	0
465	-61	18	63.6003	2.85465	0
466	-62	16	64.0312	2.88904	0
467	-62	13	63.3482	2.93491	0
468	-63	11	63.9531	2.96873	0
469	-63	9	63.6396	2.9997	0
470	-64	7	64.3817	3.03265	0
471	-64	4	64.1249	3.07917	0
472	-64	2	64.0312	3.11035	0
473	-65	-1	65.0077	-3.12621	0
474	-65	-3	65.0692	-3.09547	0
475	-66	-5	66.1891	-3.06598	0
476	-66	-7	66.3702	-3.03593	0
477	-66	-10	66.7533	-2.99122	0
478	-67	-12	68.0661	-2.96437	0
479	-67	-14	68.4471	-2.9356	0
480	-68	-17	70.0928	-2.89661	0
SourceAmp:	497	MinSinkAmp:	467	MinMagnitude:	63.3482

