Amp	Real	Quad	Magnitude	Phase	Overflow
0	184	1109	1124.16	1.40638	0
100	156	891	904.553	1.39747	0
200	127	672	683.895	1.38401	0
300	97	452	462.291	1.3594	0
400	66	232	241.205	1.29364	0
500	36	11	37.6431	0.296546	0
600	5	-207	207.06	-1.54665	0
700	-27	-426	426.855	-1.63409	0
800	-55	-647	649.334	-1.6556	0
900	-85	-867	871.157	-1.66852	0
1000	-114	-1090	1095.95	-1.675	0
SourceAmp:	470	MinSinkAmp:	500	MinMagnitude:	37.6431

Amp	Real	Quad	Magnitude	Phase	Overflow
400	66	230	239.282	1.29135	0
410	63	210	219.246	1.27934	0
420	61	188	197.649	1.25705	0
430	58	166	175.841	1.23466	0
440	54	144	153.792	1.21203	0
450	51	122	132.231	1.17484	0
460	48	102	112.73	1.13095	0
470	45	79	90.9175	1.05301	0
480	42	56	70	0.927295	0
490	39	34	51.7397	0.717012	0
500	36	12	37.9473	0.321751	0
510	32	-10	33.5261	-0.302885	0
520	29	-31	42.45	-0.818719	0
530	26	-54	59.9333	-1.12207	0
540	24	-75	78.7464	-1.26109	0
550	21	-97	99.2472	-1.35759	0
560	18	-120	121.342	-1.42191	0
570	14	-142	142.688	-1.47252	0
580	11	-163	163.371	-1.50341	0
590	8	-185	185.173	-1.52758	0
600	5	-207	207.06	-1.54665	0
SourceAmp:	470	MinSinkAmp:	510	MinMagnitude:	33.5261

Amp	Real	Quad	Magnitude	Phase	Overflow
500	36	11	37.6431	0.296546	0
501	35	9	36.1386	0.25169	0
502	35	7	35.6931	0.197396	0
503	34	5	34.3657	0.146012	0
504	34	3	34.1321	0.0880074	0
505	34	0	34	0	0
506	34	-2	34.0588	-0.0587558	0
507	33	-4	33.2415	-0.120624	0
508	33	-6	33.541	-0.179853	0
509	32	-8	32.9848	-0.244979	0
510	32	-10	33.5261	-0.302885	0
511	32	-12	34.176	-0.358771	0
512	31	-14	34.0147	-0.424194	0
513	31	-16	34.8855	-0.476467	0
514	31	-19	36.3593	-0.549853	0
515	30	-21	36.6197	-0.610726	0
516	30	-23	37.8021	-0.654083	0
517	30	-25	39.0512	-0.694738	0
518	29	-27	39.6232	-0.749699	0
519	29	-29	41.0122	-0.785398	0
520	29	-31	42.45	-0.818719	0
SourceAmp:	470	MinSinkAmp:	509	MinMagnitude:	32.9848

