Amp	Real	Quad	Magnitude	Phase	Overflow
0	844	-2953	3071.24	-1.29241	0
100	690	-2566	2657.15	-1.30811	0
200	604	-1961	2051.91	-1.27201	0
300	454	-1296	1373.22	-1.23385	0
400	276	-603	663.163	-1.14155	0
500	100	91	135.207	0.738313	0
600	-74	782	785.493	1.66514	0
700	-171	1413	1423.31	1.69123	0
800	-128	1946	1950.21	1.63648	0
900	-36	2448	2448.26	1.5855	0
1000	82	2947	2948.14	1.54298	0
SourceAmp:	507	MinSinkAmp:	500	MinMagnitude:	135.207

Amp	Real	Quad	Magnitude	Phase	Overflow
400	967	-601	1138.55	-0.556086	0
410	258	-533	592.16	-1.11999	0
420	240	-465	523.283	-1.09433	0
430	221	-396	453.494	-1.06177	0
440	204	-326	384.567	-1.01165	0
450	188	-257	318.423	-0.939229	0
460	170	-189	254.207	-0.838274	0
470	152	-118	192.427	-0.660132	0
480	135	-48	143.279	-0.341615	0
490	117	23	119.239	0.194106	0
500	99	91	134.469	0.743318	0
510	82	160	179.789	1.0972	0
520	65	229	238.046	1.29423	0
530	47	300	303.659	1.41539	0
540	30	367	368.224	1.48923	0
550	13	438	438.193	1.54112	0
560	-5	508	508.025	1.58064	0
570	-24	577	577.499	1.61237	0
580	-41	644	645.304	1.63438	0
590	-59	714	716.434	1.65324	0
600	-77	784	787.772	1.6687	0
SourceAmp:	507	MinSinkAmp:	490	MinMagnitude:	119.239

Amp	Real	Quad	Magnitude	Phase	Overflow
480	138	-48	146.11	-0.334737	0
481	133	-40	138.885	-0.292146	0
482	131	-33	135.093	-0.246774	0
483	129	-26	131.594	-0.198886	0
484	128	-20	129.553	-0.154997	0
485	126	-13	126.669	-0.102811	0
486	124	-6	124.145	-0.0483494	0
487	122	2	122.016	0.016392	0
488	120	8	120.266	0.0665682	0
489	118	15	118.95	0.12644	0
490	116	22	118.068	0.187429	0
491	114	29	117.631	0.249102	0
492	113	34	118.004	0.292268	0
493	111	42	118.68	0.361729	0
494	109	49	119.507	0.422472	0
495	107	56	120.768	0.482164	0
496	105	64	122.967	0.547393	0
497	104	71	125.925	0.599015	0
498	102	78	128.406	0.652847	0
499	100	86	131.894	0.710271	0
500	99	91	134.469	0.743318	0
SourceAmp:	507	MinSinkAmp:	491	MinMagnitude:	117.631

