Amp	Real	Quad	Magnitude	Phase	Overflow
0	2138	3744	4311.45	1.05194	0
100	1707	3742	4112.96	1.14282	0
200	1320	2990	3268.41	1.15506	0
300	946	2244	2435.25	1.17184	0
400	597	1495	1609.79	1.19087	0
500	306	752	811.874	1.18434	0
600	48	-7	48.5077	-0.144812	0
700	-221	-826	855.054	-1.83223	0
800	-696	-1452	1610.19	-2.01778	0
900	-1206	-2077	2401.74	-2.09686	0
1000	-1718	-2679	3182.54	-2.14102	0
SourceAmp:	580	MinSinkAmp:	600	MinMagnitude:	48.5077

Amp	Real	Quad	Magnitude	Phase	Overflow
500	-387	1024	1094.69	1.93213	0
510	285	673	730.858	1.17022	0
520	264	592	648.198	1.15132	0
530	248	498	556.334	1.10876	0
540	233	407	468.975	1.05086	0
550	218	312	380.615	0.960931	0
560	203	218	297.881	0.821013	0
570	188	125	225.763	0.586774	0
580	175	31	177.725	0.175324	0
590	161	-63	172.887	-0.372988	0
600	146	-155	212.934	-0.81529	0
610	129	-243	275.118	-1.08276	0
620	106	-319	336.15	-1.24999	0
630	75	-386	393.219	-1.37889	0
640	42	-449	450.96	-1.47753	0
650	6	-512	512.035	-1.55908	0
660	-32	-575	575.89	-1.62639	0
670	-72	-638	642.05	-1.68317	0
680	-113	-700	709.062	-1.73084	0
690	-156	-764	779.764	-1.77222	0
700	-200	-826	849.868	-1.80836	0
SourceAmp:	580	MinSinkAmp:	590	MinMagnitude:	172.887

Amp	Real	Quad	Magnitude	Phase	Overflow
580	50	165	172.409	1.27656	0
581	173	25	174.797	0.143515	0
582	171	15	171.657	0.0874953	0
583	170	4	170.047	0.0235251	0
584	168	-4	168.048	-0.023805	0
585	167	-13	167.505	-0.0776876	0
586	165	-22	166.46	-0.132552	0
587	163	-32	166.111	-0.193854	0
588	162	-38	166.397	-0.230402	0
589	160	-47	166.76	-0.285713	0
590	159	-57	168.908	-0.344219	0
591	157	-65	169.924	-0.392528	0
592	155	-75	172.192	-0.450661	0
593	153	-84	174.542	-0.50209	0
594	151	-93	177.341	-0.552024	0
595	149	-102	180.569	-0.600291	0
596	148	-109	183.807	-0.634796	0
597	146	-118	187.723	-0.679733	0
598	144	-127	192.003	-0.72275	0
599	142	-136	196.621	-0.763819	0
600	141	-144	201.537	-0.795924	0
SourceAmp:	580	MinSinkAmp:	587	MinMagnitude:	166.111

