Amp	Real	Quad	Magnitude	Phase	Overflow
0	2155	3819	4385.06	1.05705	0
100	1715	3802	4170.9	1.14705	0
200	1316	3045	3317.21	1.16286	0
300	932	2293	2475.17	1.18474	0
400	571	1540	1642.45	1.21573	0
500	257	797	837.411	1.25886	0
600	-39	101	108.268	1.9393	0
700	-296	-717	775.696	-1.96231	0
800	-759	-1342	1541.77	-2.08552	0
900	-1257	-1965	2332.65	-2.13989	0
1000	-1764	-2565	3113.02	-2.17323	0
SourceAmp:	594	MinSinkAmp:	600	MinMagnitude:	108.268

Amp	Real	Quad	Magnitude	Phase	Overflow
500	-430	1123	1202.51	1.93648	0
510	231	721	757.101	1.26074	0
520	205	647	678.7	1.26396	0
530	179	568	595.538	1.26551	0
540	156	491	515.186	1.26316	0
550	137	401	423.757	1.24158	0
560	121	307	329.985	1.19535	0
570	105	216	240.169	1.11832	0
580	90	125	154.029	0.946773	0
590	74	34	81.4371	0.430693	0
600	56	-55	78.492	-0.776389	0
610	37	-141	145.774	-1.31417	0
620	18	-222	222.729	-1.48989	0
630	-11	-290	290.209	-1.60871	0
640	-43	-349	351.639	-1.69339	0
650	-77	-409	416.185	-1.75688	0
660	-114	-470	483.628	-1.80875	0
670	-151	-531	552.053	-1.84785	0
680	-191	-594	623.953	-1.8819	0
690	-234	-658	698.37	-1.91247	0
700	-275	-718	768.862	-1.93657	0
SourceAmp:	594	MinSinkAmp:	600	MinMagnitude:	78.492

Amp	Real	Quad	Magnitude	Phase	Overflow
590	-38	169	173.22	1.79197	0
591	68	34	76.0263	0.463648	0
592	66	23	69.8928	0.335324	0
593	64	14	65.5134	0.215358	0
594	62	6	62.2896	0.0964738	0
595	60	-3	60.075	-0.0499584	0
596	58	-10	58.8558	-0.170735	0
597	56	-19	59.1354	-0.327098	0
598	54	-27	60.3738	-0.463648	0
599	52	-36	63.2456	-0.605545	0
600	50	-45	67.2681	-0.732815	0
601	48	-53	71.5052	-0.834863	0
602	47	-60	76.2168	-0.906301	0
603	45	-70	83.2166	-0.999459	0
604	43	-76	87.3212	-1.05591	0
605	41	-85	94.3716	-1.12137	0
606	39	-94	101.769	-1.17752	0
607	37	-102	108.503	-1.22281	0
608	35	-113	118.296	-1.27043	0
609	33	-122	126.384	-1.30663	0
610	31	-130	133.645	-1.33671	0
SourceAmp:	594	MinSinkAmp:	596	MinMagnitude:	58.8558

