Amp	Real	Quad	Magnitude	Phase	Overflow
0	188	-285	341.422	-0.987668	0
100	490	-123	505.202	-0.245939	0
200	1113	-266	1144.34	-0.234593	0
300	1674	-266	1695	-0.157583	0
400	2209	-215	2219.44	-0.0970235	0
500	2726	-56	2726.58	-0.02054	0
600	3245	110	3246.86	0.0338853	0
700	3770	280	3780.38	0.0741344	0
800	4368	339	4381.14	0.0774546	0
900	5000	350	5012.24	0.069886	0
1000	5721	254	5726.64	0.0443687	0
SourceAmp:	1	MinSinkAmp:	0	MinMagnitude:	341.422

Amp	Real	Quad	Magnitude	Phase	Overflow
0	-9	-87	87.4643	-1.67388	0
10	-85	30	90.1388	2.8023	0
20	-24	13	27.2947	2.64517	0
30	39	-5	39.3192	-0.12751	0
40	102	-22	104.346	-0.212432	0
50	165	-39	169.546	-0.232104	0
60	227	-56	233.805	-0.241867	0
70	290	-73	299.047	-0.246601	0
80	356	-91	367.447	-0.250259	0
90	420	-108	433.663	-0.25169	0
100	483	-124	498.663	-0.251302	0
110	547	-141	564.881	-0.252278	0
120	613	-158	633.035	-0.252258	0
130	676	-175	698.284	-0.253315	0
140	739	-191	763.284	-0.252923	0
150	804	-207	830.22	-0.25199	0
160	869	-223	897.157	-0.251196	0
170	933	-239	963.125	-0.250771	0
180	995	-254	1026.91	-0.249938	0
190	1057	-270	1090.94	-0.250092	0
200	1120	-285	1155.69	-0.249176	0
SourceAmp:	1	MinSinkAmp:	20	MinMagnitude:	27.2947

Amp	Real	Quad	Magnitude	Phase	Overflow
10	-37	-10	38.3275	-2.87763	0
11	-79	28	83.8153	2.80098	0
12	-74	27	78.7718	2.79174	0
13	-68	25	72.45	2.78928	0
14	-61	23	65.192	2.78103	0
15	-55	21	58.8727	2.77686	0
16	-47	19	50.6952	2.75742	0
17	-41	17	44.3847	2.74853	0
18	-35	16	38.4838	2.71281	0
19	-28	14	31.305	2.67795	0
20	-23	13	26.4197	2.62714	0
21	-17	11	20.2485	2.56729	0
22	-11	9	14.2127	2.45586	0
23	-5	7	8.60233	2.19105	0
24	2	5	5.38516	1.19029	0
25	9	4	9.84886	0.418224	0
26	15	2	15.1327	0.132552	0
27	21	0	21	0	0
28	26	-1	26.0192	-0.0384426	0
29	32	-3	32.1403	-0.0934768	0
30	39	-5	39.3192	-0.12751	0
SourceAmp:	1	MinSinkAmp:	24	MinMagnitude:	5.38516

