Amp	Real	Quad	Magnitude	Phase	Overflow
0	200	-262	329.612	-0.9188	0
100	530	-150	550.818	-0.275806	0
200	1157	-293	1193.52	-0.248027	0
300	1720	-292	1744.61	-0.168164	0
400	2254	-198	2262.68	-0.0876189	0
500	2785	-39	2785.27	-0.0140027	0
600	3318	129	3320.51	0.0388593	0
700	3857	301	3868.73	0.0778821	0
800	4461	362	4475.66	0.0809703	0
900	5117	344	5128.55	0.0671259	0
1000	5852	242	5857	0.0413298	0
SourceAmp:	9	MinSinkAmp:	0	MinMagnitude:	329.612

Amp	Real	Quad	Magnitude	Phase	Overflow
0	28	-80	84.7585	-1.23412	0
10	-53	8	53.6004	2.99178	0
20	10	-9	13.4536	-0.732815	0
30	73	-27	77.8332	-0.354259	0
40	136	-44	142.941	-0.312901	0
50	200	-62	209.39	-0.300606	0
60	262	-79	273.651	-0.292857	0
70	327	-96	340.801	-0.285555	0
80	392	-113	407.962	-0.280657	0
90	456	-131	474.444	-0.279747	0
100	520	-148	540.651	-0.277283	0
110	584	-164	606.59	-0.273771	0
120	649	-181	673.767	-0.27198	0
130	714	-198	740.945	-0.270513	0
140	778	-214	806.895	-0.268426	0
150	843	-230	873.813	-0.266352	0
160	907	-246	939.769	-0.264852	0
170	970	-262	1004.76	-0.263808	0
180	1034	-277	1070.46	-0.261746	0
190	1096	-292	1134.23	-0.260375	0
200	1158	-307	1198	-0.259151	0
SourceAmp:	9	MinSinkAmp:	20	MinMagnitude:	13.4536

Amp	Real	Quad	Magnitude	Phase	Overflow
10	-16	-19	24.8395	-2.27069	0
11	-47	7	47.5184	2.99374	0
12	-41	5	41.3038	3.02024	0
13	-35	3	35.1283	3.05609	0
14	-29	1	29.0172	3.10712	0
15	-22	0	22	3.14159	0
16	-16	-2	16.1245	-3.01724	0
17	-9	-4	9.84886	-2.72337	0
18	-2	-6	6.32456	-1.89255	0
19	4	-8	8.94427	-1.10715	0
20	9	-9	12.7279	-0.785398	0
21	16	-11	19.4165	-0.602287	0
22	22	-13	25.5539	-0.533708	0
23	29	-15	32.6497	-0.477345	0
24	35	-16	38.4838	-0.428778	0
25	41	-18	44.7772	-0.413689	0
26	48	-20	52	-0.394791	0
27	54	-22	58.3095	-0.386876	0
28	59	-23	63.3246	-0.371709	0
29	66	-25	70.5762	-0.362087	0
30	72	-26	76.5506	-0.346539	0
SourceAmp:	9	MinSinkAmp:	18	MinMagnitude:	6.32456

