Amp	Real	Quad	Magnitude	Phase	Overflow
0	-476	-96	485.584	-2.94258	0
100	-444	-461	640.045	-2.33741	0
200	-411	-830	926.186	-2.03058	0
300	-375	-1199	1256.27	-1.87392	0
400	-336	-1568	1603.6	-1.78189	0
500	-296	-1936	1958.5	-1.72251	0
600	-297	-2287	2306.2	-1.69994	0
700	-367	-2599	2624.78	-1.71108	0
800	-513	-2869	2914.5	-1.74773	0
900	-671	-3130	3201.12	-1.78198	0
1000	-846	-3377	3481.36	-1.81626	0
SourceAmp:	16	MinSinkAmp:	0	MinMagnitude:	485.584

Amp	Real	Quad	Magnitude	Phase	Overflow
0	-732	-50	733.706	-3.07339	0
10	-473	-131	490.805	-2.87141	0
20	-470	-168	499.123	-2.7983	0
30	-466	-204	508.696	-2.72896	0
40	-463	-241	521.967	-2.66167	0
50	-460	-278	537.479	-2.59798	0
60	-457	-313	553.912	-2.54107	0
70	-454	-350	573.25	-2.48483	0
80	-450	-387	593.523	-2.43132	0
90	-447	-424	616.105	-2.38259	0
100	-444	-461	640.045	-2.33741	0
110	-441	-497	664.447	-2.29656	0
120	-437	-535	690.792	-2.25571	0
130	-434	-571	717.215	-2.22071	0
140	-431	-608	745.268	-2.18746	0
150	-428	-645	774.086	-2.15665	0
160	-424	-682	803.057	-2.12702	0
170	-421	-719	833.188	-2.10051	0
180	-418	-756	863.863	-2.07587	0
190	-414	-793	894.564	-2.05194	0
200	-411	-830	926.186	-2.03058	0
SourceAmp:	16	MinSinkAmp:	10	MinMagnitude:	490.805

Amp	Real	Quad	Magnitude	Phase	Overflow
0	-476	-95	485.387	-2.9446	0
1	-476	-99	486.186	-2.93653	0
2	-475	-102	485.828	-2.93007	0
3	-475	-106	486.684	-2.92203	0
4	-475	-109	487.346	-2.91602	0
5	-475	-113	488.256	-2.90804	0
6	-474	-116	487.988	-2.90158	0
7	-474	-120	488.954	-2.89364	0
8	-474	-124	489.951	-2.88572	0
9	-473	-128	490.013	-2.87731	0
10	-473	-131	490.805	-2.87141	0
11	-473	-135	491.888	-2.86357	0
12	-472	-138	491.76	-2.85715	0
13	-472	-142	492.898	-2.84936	0
14	-472	-145	493.77	-2.84354	0
15	-471	-149	494.006	-2.83521	0
16	-471	-154	495.537	-2.82559	0
17	-471	-157	496.478	-2.81984	0
18	-470	-161	496.811	-2.81157	0
19	-470	-165	498.121	-2.80397	0
20	-470	-168	499.123	-2.7983	0
SourceAmp:	16	MinSinkAmp:	0	MinMagnitude:	485.387

