Amp	Real	Quad	Magnitude	Phase	Overflow
0	-333	376	502.26	2.29562	0
100	-363	124	383.595	2.81242	0
200	-393	-131	414.258	-2.81984	0
300	-423	-387	573.322	-2.40061	0
400	-453	-644	787.366	-2.18381	0
500	-482	-901	1021.82	-2.06202	0
600	-509	-1158	1264.93	-1.98493	0
700	-535	-1417	1514.63	-1.93181	0
800	-560	-1674	1765.18	-1.89362	0
900	-584	-1933	2019.29	-1.8642	0
1000	-607	-2189	2271.6	-1.8413	0
SourceAmp:	0	MinSinkAmp:	100	MinMagnitude:	383.595

Amp	Real	Quad	Magnitude	Phase	Overflow
0	-333	375	501.512	2.29694	0
10	-336	352	486.621	2.33294	0
20	-338	327	470.29	2.37273	0
30	-342	301	455.593	2.41987	0
40	-344	276	441.035	2.46544	0
50	-348	250	428.49	2.51863	0
60	-351	225	416.924	2.57155	0
70	-354	200	406.591	2.62733	0
80	-357	174	397.146	2.68808	0
90	-360	149	389.616	2.74917	0
100	-363	124	383.595	2.81242	0
110	-366	98	378.893	2.87997	0
120	-369	72	375.959	2.94889	0
130	-372	47	374.957	3.01591	0
140	-375	22	375.645	3.08299	0
150	-378	-4	378.021	-3.13101	0
160	-381	-30	382.179	-3.06301	0
170	-384	-55	387.919	-2.99933	0
180	-387	-81	395.386	-2.93527	0
190	-390	-106	404.148	-2.87621	0
200	-393	-132	414.576	-2.81755	0
SourceAmp:	0	MinSinkAmp:	130	MinMagnitude:	374.957

Amp	Real	Quad	Magnitude	Phase	Overflow
120	-369	72	375.959	2.94889	0
121	-369	70	375.581	2.95412	0
122	-369	67	375.033	2.96198	0
123	-370	65	375.666	2.96769	0
124	-370	63	375.325	2.97294	0
125	-370	60	374.833	2.98083	0
126	-370	57	374.365	2.98874	0
127	-371	55	375.055	2.99442	0
128	-371	52	374.626	3.00234	0
129	-371	49	374.222	3.01028	0
130	-372	47	374.957	3.01591	0
131	-372	44	374.593	3.02386	0
132	-372	42	374.363	3.02917	0
133	-373	39	375.033	3.03741	0
134	-373	36	374.733	3.04538	0
135	-373	34	374.546	3.05069	0
136	-374	32	375.366	3.05624	0
137	-374	29	375.123	3.06421	0
138	-374	26	374.903	3.07219	0
139	-375	24	375.767	3.07768	0
140	-375	21	375.588	3.08565	0
SourceAmp:	0	MinSinkAmp:	129	MinMagnitude:	374.222

