Amp	Real	Quad	Magnitude	Phase	Overflow
0	270	321	419.453	0.871479	0
100	256	92	272.029	0.345002	0
200	238	-253	347.351	-0.815939	0
300	189	-632	659.655	-1.28021	0
400	218	-508	552.8	-1.16543	0
500	205	-719	747.654	-1.29305	0
600	192	-936	955.489	-1.36847	0
700	179	-1152	1165.82	-1.41665	0
800	168	-1365	1375.3	-1.44834	0
900	156	-1579	1586.69	-1.47232	0
1000	146	-1793	1798.93	-1.48955	0
SourceAmp:	116	MinSinkAmp:	100	MinMagnitude:	272.029

Amp	Real	Quad	Magnitude	Phase	Overflow
0	270	320	418.688	0.869942	0
10	269	300	402.94	0.839826	0
20	267	280	386.897	0.80916	0
30	266	257	369.872	0.768191	0
40	265	233	352.865	0.721229	0
50	263	205	333.458	0.662095	0
60	262	175	315.07	0.588883	0
70	260	145	297.7	0.50873	0
80	259	117	284.201	0.424298	0
90	258	101	277.065	0.373134	0
100	256	101	275.204	0.375783	0
110	255	109	277.319	0.403945	0
120	254	123	282.214	0.45097	0
130	252	127	282.193	0.466817	0
140	251	84	264.683	0.322945	0
150	250	28	251.563	0.111535	0
160	248	-42	251.531	-0.167763	0
170	245	-122	273.695	-0.462014	0
180	243	-173	298.292	-0.618691	0
190	241	-221	326.989	-0.742135	0
200	239	-245	342.266	-0.797794	0
SourceAmp:	116	MinSinkAmp:	160	MinMagnitude:	251.531

Amp	Real	Quad	Magnitude	Phase	Overflow
150	250	24	251.149	0.0957067	0
151	250	13	250.338	0.0519532	0
152	249	9	249.163	0.0361289	0
153	249	-5	249.05	-0.0200776	0
154	249	-6	249.072	-0.0240917	0
155	249	-21	249.884	-0.0841382	0
156	249	-22	249.97	-0.0881246	0
157	248	-34	250.32	-0.136247	0
158	248	-32	250.056	-0.128323	0
159	248	-45	252.05	-0.179499	0
160	248	-48	252.602	-0.191184	0
161	248	-57	254.466	-0.225915	0
162	247	-66	255.666	-0.261106	0
163	247	-66	255.666	-0.261106	0
164	247	-81	259.942	-0.316884	0
165	247	-81	259.942	-0.316884	0
166	246	-94	263.348	-0.364993	0
167	246	-95	263.706	-0.368535	0
168	246	-111	269.883	-0.423868	0
169	246	-109	269.067	-0.417092	0
170	246	-124	275.485	-0.466894	0
SourceAmp:	116	MinSinkAmp:	153	MinMagnitude:	249.05

