Amp	Real	Quad	Magnitude	Phase	Overflow
0	-847	-1123	1406.61	-2.217	0
100	-887	-580	1059.8	-2.56249	0
200	-932	-47	933.184	-3.09121	0
300	-952	451	1053.43	2.69917	0
400	-886	898	1261.51	2.34947	0
500	-660	1342	1495.51	2.02787	0
600	-373	1765	1803.98	1.77906	0
700	-74	2173	2174.26	1.60484	0
800	229	2544	2554.29	1.48102	0
900	536	2907	2956	1.38846	0
1000	853	3262	3371.68	1.31503	0
SourceAmp:	19	MinSinkAmp:	200	MinMagnitude:	933.184

Amp	Real	Quad	Magnitude	Phase	Overflow
100	326	-414	526.946	-0.903761	0
110	-848	-439	954.895	-2.66389	0
120	-833	-345	901.617	-2.74893	0
130	-856	-329	917.048	-2.77465	0
140	-846	-247	881.32	-2.85753	0
150	-882	-256	918.401	-2.85911	0
160	-884	-198	905.903	-2.92125	0
170	-907	-181	924.884	-2.94462	0
180	-911	-126	919.672	-3.00416	0
190	-926	-95	930.86	-3.03936	0
200	-935	-53	936.501	-3.08497	0
210	-942	-1	942.001	-3.14053	0
220	-956	32	956.535	3.10813	0
230	-959	89	963.121	3.04905	0
240	-977	115	983.745	3.02442	0
250	-977	177	992.904	2.96237	0
260	-1000	192	1018.27	2.9519	0
270	-994	265	1028.72	2.88105	0
280	-1010	293	1051.64	2.85924	0
290	-1009	358	1070.63	2.80064	0
300	-1013	399	1088.75	2.76637	0
SourceAmp:	19	MinSinkAmp:	100	MinMagnitude:	526.946

Amp	Real	Quad	Magnitude	Phase	Overflow
90	-847	-566	1018.71	-2.5525	0
91	-881	-621	1077.87	-2.5276	0
92	-877	-607	1066.57	-2.53617	0
93	-883	-611	1073.78	-2.53628	0
94	-872	-584	1049.5	-2.55148	0
95	-879	-594	1060.89	-2.54732	0
96	-871	-568	1039.84	-2.56373	0
97	-876	-572	1046.21	-2.56313	0
98	-865	-546	1022.91	-2.57854	0
99	-874	-556	1035.86	-2.57501	0
100	-864	-531	1014.13	-2.59052	0
101	-873	-541	1027.04	-2.58681	0
102	-862	-516	1004.64	-2.6022	0
103	-869	-524	1014.76	-2.59898	0
104	-856	-491	986.822	-2.62081	0
105	-867	-505	1003.35	-2.61416	0
106	-852	-472	974.006	-2.63569	0
107	-861	-482	986.735	-2.63125	0
108	-850	-454	963.647	-2.65102	0
109	-860	-468	979.093	-2.64322	0
110	-851	-444	959.863	-2.66071	0
SourceAmp:	19	MinSinkAmp:	110	MinMagnitude:	959.863

