Amp	Real	Quad	Magnitude	Phase	Overflow
0	900	-82	903.728	-0.0908602	1
100	951	538	1092.63	0.514832	0
200	994	1148	1518.53	0.85717	0
300	1034	1757	2038.68	1.03887	0
400	1080	2354	2589.93	1.14065	0
500	1179	2855	3088.86	1.17917	0
600	1350	3265	3533.09	1.17873	0
700	1559	3634	3954.29	1.16554	0
800	1805	3985	4374.73	1.14549	0
900	2051	4337	4797.52	1.12906	0
1000	2311	4682	5221.29	1.11229	0
SourceAmp:	200	MinSinkAmp:	0	MinMagnitude:	903.728

Amp	Real	Quad	Magnitude	Phase	Overflow
0	1421	-569	1530.69	-0.38087	0
10	907	-5	907.014	-0.00551262	0
20	911	56	912.72	0.0613937	0
30	916	117	923.442	0.127041	0
40	920	179	937.252	0.192164	0
50	924	238	954.159	0.252096	0
60	928	298	974.673	0.310719	0
70	932	358	998.393	0.366742	0
80	937	421	1027.23	0.422277	0
90	941	480	1056.35	0.471691	0
100	945	541	1088.9	0.519943	0
110	949	602	1123.83	0.565296	0
120	953	662	1160.37	0.607125	0
130	958	721	1199	0.645169	0
140	961	782	1238.97	0.68306	0
150	966	844	1282.77	0.718097	0
160	970	906	1327.3	0.751296	0
170	974	965	1371.09	0.780757	0
180	978	1027	1418.17	0.809832	0
190	981	1087	1464.22	0.836611	0
200	985	1148	1512.66	0.861668	0
SourceAmp:	200	MinSinkAmp:	10	MinMagnitude:	907.014

Amp	Real	Quad	Magnitude	Phase	Overflow
0	902	-62	904.128	-0.0686282	0
1	902	-58	903.863	-0.0642131	0
2	903	-50	904.383	-0.0553145	0
3	903	-44	904.071	-0.048688	0
4	903	-40	903.886	-0.0442678	0
5	903	-34	903.64	-0.0376345	0
6	904	-27	904.403	-0.0298584	0
7	905	-21	905.244	-0.0232003	0
8	905	-15	905.124	-0.0165731	0
9	905	-10	905.055	-0.0110493	0
10	906	-3	906.005	-0.00331125	0
11	906	3	906.005	0.00331125	0
12	907	8	907.035	0.00882006	0
13	907	14	907.108	0.0154343	0
14	908	21	908.243	0.0231236	0
15	908	27	908.401	0.0297269	0
16	908	33	908.599	0.0363276	0
17	909	40	909.88	0.043976	0
18	909	46	910.163	0.0505619	0
19	910	53	911.542	0.058176	0
20	911	57	912.781	0.0624871	0
SourceAmp:	200	MinSinkAmp:	5	MinMagnitude:	903.64

