OffsetValue	AccumulatedValue	Overflow
-300	-51696
-200	21580
-100	88046
0	151892
100	214006
200	279434
300	351567

-100	87986
-90	94907
-80	101602
-70	108216
-60	114712
-50	121039
-40	127381
-30	133686
-20	139830
-10	145943
0	151914
10	157909
20	163968
30	169957
40	176092
50	182191
60	188396
70	194759
80	201112
90	207497
100	214002

0	151919
1	152510
2	153092
3	153722
4	154373
5	154981
6	155553
7	156170
8	156767
9	157367
10	157938
11	158553
12	159118
13	159719
14	160283
15	160939
16	161514
17	162134
18	162743
19	163332
20	163925
GNDAccumulatedData	155969	MinAccumulatedData	156170	MinDCOffsetValue	7
