Amp	Real	Quad	Magnitude	Phase	Overflow
0	-46	289	292.638	1.72864	0
100	-97	70	119.62	2.51648	0
200	-149	-149	210.718	-2.35619	0
300	-201	-370	421.071	-2.06844	0
400	-253	-591	642.876	-1.97528	0
500	-304	-813	867.978	-1.92862	0
600	-354	-1034	1092.92	-1.90065	0
700	-403	-1256	1319.07	-1.88128	0
800	-451	-1478	1545.28	-1.86696	0
900	-499	-1700	1771.72	-1.85631	0
1000	-545	-1919	1994.89	-1.84751	0
SourceAmp:	143	MinSinkAmp:	100	MinMagnitude:	119.62

Amp	Real	Quad	Magnitude	Phase	Overflow
0	-47	288	291.81	1.73256	0
10	-51	267	271.827	1.75953	0
20	-56	246	252.293	1.79462	0
30	-61	224	232.157	1.83667	0
40	-66	202	212.509	1.88659	0
50	-71	179	192.567	1.94841	0
60	-76	158	175.328	2.01914	0
70	-81	136	158.294	2.10797	0
80	-87	114	143.405	2.22267	0
90	-92	92	130.108	2.35619	0
100	-97	70	119.62	2.51648	0
110	-103	49	114.061	2.69755	0
120	-108	26	111.086	2.90535	0
130	-113	4	113.071	3.10621	0
140	-118	-17	119.218	-2.99851	0
150	-123	-40	129.341	-2.82718	0
160	-129	-62	143.126	-2.69357	0
170	-134	-84	158.152	-2.58165	0
180	-139	-106	174.806	-2.49008	0
190	-144	-128	192.666	-2.41495	0
200	-150	-149	211.426	-2.35954	0
SourceAmp:	143	MinSinkAmp:	120	MinMagnitude:	111.086

Amp	Real	Quad	Magnitude	Phase	Overflow
110	-103	48	113.635	2.7055	0
111	-103	46	112.805	2.72157	0
112	-104	43	112.539	2.74954	0
113	-104	41	111.79	2.76607	0
114	-105	39	112.009	2.78596	0
115	-105	37	111.328	2.8028	0
116	-106	35	111.629	2.82267	0
117	-106	33	111.018	2.83978	0
118	-107	31	111.4	2.85959	0
119	-107	28	110.603	2.88565	0
120	-108	26	111.086	2.90535	0
121	-108	24	110.635	2.92292	0
122	-109	22	111.198	2.94243	0
123	-109	20	110.82	2.96012	0
124	-110	18	111.463	2.97939	0
125	-110	15	111.018	3.00606	0
126	-111	13	111.759	3.02501	0
127	-111	11	111.544	3.04282	0
128	-112	9	112.361	3.06141	0
129	-113	7	113.217	3.07972	0
130	-113	4	113.071	3.10621	0
SourceAmp:	143	MinSinkAmp:	119	MinMagnitude:	110.603

