Amp	Real	Quad	Magnitude	Phase	Overflow
0	127	232	264.486	1.06994	0
100	88	15	89.2693	0.168832	0
200	47	-204	209.344	-1.34436	0
300	8	-424	424.075	-1.55193	0
400	-32	-644	644.795	-1.62044	0
500	-71	-866	868.906	-1.6526	0
600	-109	-1087	1092.45	-1.67074	0
700	-146	-1307	1315.13	-1.68204	0
800	-182	-1529	1539.79	-1.68927	0
900	-217	-1750	1763.4	-1.69417	0
1000	-252	-1970	1986.05	-1.69802	0
SourceAmp:	93	MinSinkAmp:	100	MinMagnitude:	89.2693

Amp	Real	Quad	Magnitude	Phase	Overflow
0	127	232	264.486	1.06994	0
10	124	211	244.739	1.03949	0
20	120	189	223.877	1.00509	0
30	116	168	204.157	0.966491	0
40	112	146	184.011	0.916426	0
50	108	124	164.438	0.854255	0
60	103	103	145.664	0.785398	0
70	100	81	128.69	0.680809	0
80	95	59	111.83	0.555756	0
90	92	37	99.1615	0.382379	0
100	87	15	88.2836	0.170735	0
110	83	-7	83.2947	-0.0841382	0
120	79	-29	84.1546	-0.351817	0
130	75	-51	90.6973	-0.597177	0
140	71	-73	101.833	-0.799286	0
150	67	-95	116.25	-0.956547	0
160	63	-117	132.883	-1.07685	0
170	59	-139	151.003	-1.16938	0
180	55	-160	169.189	-1.2397	0
190	51	-182	189.011	-1.29758	0
200	47	-204	209.344	-1.34436	0
SourceAmp:	93	MinSinkAmp:	110	MinMagnitude:	83.2947

Amp	Real	Quad	Magnitude	Phase	Overflow
100	87	15	88.2836	0.170735	0
101	87	13	87.9659	0.148328	0
102	87	11	87.6926	0.125769	0
103	86	8	86.3713	0.0927563	0
104	86	6	86.209	0.0696546	0
105	85	4	85.0941	0.0470241	0
106	85	2	85.0235	0.0235251	0
107	84	-1	84.006	-0.0119042	0
108	84	-2	84.0238	-0.023805	0
109	84	-5	84.1487	-0.0594537	0
110	83	-7	83.2947	-0.0841382	0
111	83	-9	83.4865	-0.108012	0
112	82	-12	82.8734	-0.14531	0
113	82	-14	83.1865	-0.169101	0
114	82	-16	83.5464	-0.192701	0
115	81	-18	82.9759	-0.218669	0
116	81	-20	83.4326	-0.242072	0
117	80	-22	82.9699	-0.268366	0
118	80	-25	83.8153	-0.302885	0
119	80	-27	84.4334	-0.325496	0
120	79	-29	84.1546	-0.351817	0
SourceAmp:	93	MinSinkAmp:	112	MinMagnitude:	82.8734

