Source1	Sink1	VM+1	VM-1	Source2	Sink2	VM+2	VM-2
16	16	4	5	9	10	4	5	
16	16	3	4	9	10	3	4	
16	16	2	3	9	10	2	3	
16	16	1	2	9	10	1	2	
16	16	0	1	9	10	0	1	
16	16	15	0	9	10	15	0	
16	16	14	15	9	10	14	15	
16	16	13	14	9	10	13	14	
16	16	12	13	9	10	12	13	
16	16	11	12	9	10	11	12	
16	16	10	11	9	10	10	11	
16	16	9	10	9	10	9	10	
16	16	8	9	9	10	8	9	
16	16	7	16	8	9	7	16	
16	16	6	7	8	9	6	7	
16	16	5	6	8	9	5	6	
16	16	4	5	8	9	4	5	
16	16	3	4	8	9	3	4	
16	16	2	3	8	9	2	3	
16	16	1	2	8	9	1	2	
16	16	0	1	8	9	0	1	
16	16	15	0	8	9	15	0	
16	16	14	15	8	9	14	15	
16	16	13	14	8	9	13	14	
16	16	12	13	8	9	12	13	
16	16	11	12	8	9	11	12	
16	16	10	11	8	9	10	11	
16	16	9	10	8	9	9	10	
16	16	8	9	8	9	8	9	
