Amp	Real	Quad	Magnitude	Phase	Overflow
0	-1	-1	1.41421	-2.35619	0
100	-1	-1	1.41421	-2.35619	0
200	-1	-1	1.41421	-2.35619	0
300	-1	-1	1.41421	-2.35619	0
400	-1	-1	1.41421	-2.35619	0
500	0	-1	1	-1.5708	0
600	-1	-1	1.41421	-2.35619	0
700	-1	-1	1.41421	-2.35619	0
800	-1	-1	1.41421	-2.35619	0
900	0	-1	1	-1.5708	0
1000	-1	-1	1.41421	-2.35619	0
SourceAmp:	30	MinSinkAmp:	500	MinMagnitude:	1

Amp	Real	Quad	Magnitude	Phase	Overflow
400	0	-1	1	-1.5708	0
410	-1	-1	1.41421	-2.35619	0
420	-1	-1	1.41421	-2.35619	0
430	-1	-1	1.41421	-2.35619	0
440	-1	-1	1.41421	-2.35619	0
450	-1	-1	1.41421	-2.35619	0
460	-1	-1	1.41421	-2.35619	0
470	-1	-1	1.41421	-2.35619	0
480	-1	-1	1.41421	-2.35619	0
490	-1	0	1	3.14159	0
500	-1	-1	1.41421	-2.35619	0
510	0	-1	1	-1.5708	0
520	-1	-1	1.41421	-2.35619	0
530	-1	0	1	3.14159	0
540	0	-1	1	-1.5708	0
550	-1	-1	1.41421	-2.35619	0
560	0	-1	1	-1.5708	0
570	-1	-1	1.41421	-2.35619	0
580	0	-1	1	-1.5708	0
590	-1	-1	1.41421	-2.35619	0
600	-1	-1	1.41421	-2.35619	0
SourceAmp:	30	MinSinkAmp:	400	MinMagnitude:	1

Amp	Real	Quad	Magnitude	Phase	Overflow
390	0	-1	1	-1.5708	0
391	-1	-1	1.41421	-2.35619	0
392	0	-1	1	-1.5708	0
393	0	-1	1	-1.5708	0
394	-1	-1	1.41421	-2.35619	0
395	0	-1	1	-1.5708	0
396	-1	-1	1.41421	-2.35619	0
397	-1	-1	1.41421	-2.35619	0
398	-1	-1	1.41421	-2.35619	0
399	-1	-1	1.41421	-2.35619	0
400	-1	-1	1.41421	-2.35619	0
401	-1	-1	1.41421	-2.35619	0
402	0	-1	1	-1.5708	0
403	-1	-1	1.41421	-2.35619	0
404	0	-1	1	-1.5708	0
405	-1	-1	1.41421	-2.35619	0
406	-1	-1	1.41421	-2.35619	0
407	-1	0	1	3.14159	0
408	-1	-1	1.41421	-2.35619	0
409	-1	-1	1.41421	-2.35619	0
410	-1	0	1	3.14159	0
SourceAmp:	30	MinSinkAmp:	390	MinMagnitude:	1

