Amp	Real	Quad	Magnitude	Phase	Overflow
0	-1	0	1	3.14159	0
100	-1	0	1	3.14159	0
200	-1	0	1	3.14159	0
300	0	0	0	0	0
400	0	-1	1	-1.5708	0
500	-1	0	1	3.14159	0
600	-1	0	1	3.14159	0
700	-1	0	1	3.14159	0
800	0	0	0	0	0
900	-1	-1	1.41421	-2.35619	0
1000	0	-1	1	-1.5708	0
SourceAmp:	300	MinSinkAmp:	300	MinMagnitude:	0

Amp	Real	Quad	Magnitude	Phase	Overflow
200	-1	-1	1.41421	-2.35619	0
210	0	0	0	0	0
220	-1	-1	1.41421	-2.35619	0
230	-1	-1	1.41421	-2.35619	0
240	0	-1	1	-1.5708	0
250	-1	0	1	3.14159	0
260	-1	-1	1.41421	-2.35619	0
270	0	0	0	0	0
280	-1	0	1	3.14159	0
290	-1	0	1	3.14159	0
300	0	-1	1	-1.5708	0
310	0	0	0	0	0
320	-1	0	1	3.14159	0
330	-1	0	1	3.14159	0
340	0	0	0	0	0
350	0	-1	1	-1.5708	0
360	0	-1	1	-1.5708	0
370	-1	-1	1.41421	-2.35619	0
380	0	-1	1	-1.5708	0
390	-1	0	1	3.14159	0
400	-1	0	1	3.14159	0
SourceAmp:	300	MinSinkAmp:	210	MinMagnitude:	0

Amp	Real	Quad	Magnitude	Phase	Overflow
200	0	0	0	0	0
201	0	0	0	0	0
202	-1	0	1	3.14159	0
203	0	-1	1	-1.5708	0
204	0	0	0	0	0
205	-1	-1	1.41421	-2.35619	0
206	0	-1	1	-1.5708	0
207	0	0	0	0	0
208	-1	-1	1.41421	-2.35619	0
209	-1	-1	1.41421	-2.35619	0
210	-1	0	1	3.14159	0
211	-1	0	1	3.14159	0
212	-1	-1	1.41421	-2.35619	0
213	0	-1	1	-1.5708	0
214	0	-1	1	-1.5708	0
215	0	0	0	0	0
216	0	-1	1	-1.5708	0
217	0	-1	1	-1.5708	0
218	0	0	0	0	0
219	0	0	0	0	0
220	-1	0	1	3.14159	0
SourceAmp:	300	MinSinkAmp:	200	MinMagnitude:	0

