Amp	Real	Quad	Magnitude	Phase	Overflow
0	-1	-1	1.41421	-2.35619	0
100	0	-1	1	-1.5708	0
200	-1	-1	1.41421	-2.35619	0
300	-1	0	1	3.14159	0
400	0	0	0	0	0
500	-1	0	1	3.14159	0
600	-1	0	1	3.14159	0
700	-1	-1	1.41421	-2.35619	0
800	0	-1	1	-1.5708	0
900	0	0	0	0	0
1000	0	0	0	0	0
SourceAmp:	520	MinSinkAmp:	400	MinMagnitude:	0

Amp	Real	Quad	Magnitude	Phase	Overflow
300	-1	-1	1.41421	-2.35619	0
310	0	0	0	0	0
320	0	0	0	0	0
330	-1	-1	1.41421	-2.35619	0
340	0	0	0	0	0
350	-1	0	1	3.14159	0
360	0	0	0	0	0
370	-1	0	1	3.14159	0
380	-1	-1	1.41421	-2.35619	0
390	0	0	0	0	0
400	-1	-1	1.41421	-2.35619	0
410	0	-1	1	-1.5708	0
420	0	0	0	0	0
430	-1	-1	1.41421	-2.35619	0
440	0	-1	1	-1.5708	0
450	-1	0	1	3.14159	0
460	-1	-1	1.41421	-2.35619	0
470	0	0	0	0	0
480	0	0	0	0	0
490	-1	-1	1.41421	-2.35619	0
500	-1	0	1	3.14159	0
SourceAmp:	520	MinSinkAmp:	310	MinMagnitude:	0

Amp	Real	Quad	Magnitude	Phase	Overflow
300	0	0	0	0	0
301	0	-1	1	-1.5708	0
302	-1	0	1	3.14159	0
303	0	-1	1	-1.5708	0
304	0	-1	1	-1.5708	0
305	-1	0	1	3.14159	0
306	0	0	0	0	0
307	-1	0	1	3.14159	0
308	-1	-1	1.41421	-2.35619	0
309	-1	-1	1.41421	-2.35619	0
310	0	0	0	0	0
311	-1	0	1	3.14159	0
312	0	0	0	0	0
313	-1	0	1	3.14159	0
314	0	0	0	0	0
315	0	0	0	0	0
316	-1	0	1	3.14159	0
317	-1	-1	1.41421	-2.35619	0
318	0	0	0	0	0
319	-1	-1	1.41421	-2.35619	0
320	-1	0	1	3.14159	0
SourceAmp:	520	MinSinkAmp:	300	MinMagnitude:	0

