Amp	Real	Quad	Magnitude	Phase	Overflow
0	-2794	3003	4101.76	2.32016	0
100	-2343	1742	2919.63	2.50227	0
200	-1674	1221	2071.98	2.51141	0
300	-1029	753	1275.09	2.50986	0
400	-443	350	564.579	2.47294	0
500	-34	-81	87.8465	-1.96821	0
600	276	-637	694.223	-1.16193	0
700	765	-1261	1474.91	-1.02549	0
800	1286	-1983	2363.49	-0.995468	0
900	1841	-2750	3309.35	-0.980866	0
1000	2430	-3563	4312.76	-0.972247	0
SourceAmp:	460	MinSinkAmp:	500	MinMagnitude:	87.8465

Amp	Real	Quad	Magnitude	Phase	Overflow
400	-1262	-349	1309.37	-2.87179	0
410	-372	325	493.973	2.42352	0
420	-318	290	430.377	2.40221	0
430	-270	253	370.012	2.38869	0
440	-222	217	310.44	2.36758	0
450	-176	181	252.462	2.34219	0
460	-131	143	193.933	2.31243	0
470	-101	98	140.73	2.37127	0
480	-73	50	88.4816	2.54105	0
490	-46	0	46	3.14159	0
500	-19	-50	53.4883	-1.93394	0
510	8	-101	101.316	-1.49175	0
520	33	-155	158.474	-1.36103	0
530	78	-204	218.403	-1.20559	0
540	115	-257	281.556	-1.15005	0
550	152	-311	346.157	-1.11619	0
560	188	-366	411.461	-1.09628	0
570	225	-424	480.001	-1.08292	0
580	261	-482	548.129	-1.07451	0
590	298	-542	618.521	-1.06809	0
600	334	-604	690.197	-1.06567	0
SourceAmp:	460	MinSinkAmp:	490	MinMagnitude:	46

Amp	Real	Quad	Magnitude	Phase	Overflow
480	-253	-126	282.639	-2.67953	0
481	-72	41	82.8553	2.62394	0
482	-69	37	78.2943	2.64938	0
483	-66	32	73.3485	2.69014	0
484	-63	27	68.542	2.7367	0
485	-61	22	64.846	2.79546	0
486	-58	17	60.4401	2.85647	0
487	-55	12	56.2939	2.92678	0
488	-52	8	52.6118	2.98894	0
489	-49	3	49.0918	3.08044	0
490	-47	-2	47.0425	-3.09907	0
491	-44	-7	44.5533	-2.98382	0
492	-42	-11	43.4166	-2.88544	0
493	-39	-16	42.1545	-2.75228	0
494	-36	-21	41.6773	-2.61352	0
495	-33	-26	42.0119	-2.47429	0
496	-31	-31	43.8406	-2.35619	0
497	-27	-36	45	-2.2143	0
498	-25	-41	48.0208	-2.11836	0
499	-22	-47	51.8941	-2.00859	0
500	-20	-51	54.7814	-1.94452	0
SourceAmp:	460	MinSinkAmp:	494	MinMagnitude:	41.6773

