Amp	Real	Quad	Magnitude	Phase	Overflow
0	-2795	3018	4113.44	2.31785	0
100	-2346	1789	2950.29	2.49009	0
200	-1671	1278	2103.69	2.48868	0
300	-1020	821	1309.37	2.46387	0
400	-438	422	608.217	2.3748	0
500	-10	-8	12.8062	-2.46685	0
600	320	-560	644.981	-1.05165	0
700	785	-1195	1429.77	-0.989583	0
800	1306	-1928	2328.69	-0.975409	0
900	1862	-2709	3287.21	-0.968619	0
1000	2450	-3534	4300.19	-0.964605	0
SourceAmp:	470	MinSinkAmp:	500	MinMagnitude:	12.8062

Amp	Real	Quad	Magnitude	Phase	Overflow
400	-1297	-361	1346.3	-2.87013	0
410	-334	406	525.73	2.2592	0
420	-279	373	465.8	2.21301	0
430	-230	338	408.832	2.1683	0
440	-181	302	352.087	2.11073	0
450	-135	267	299.189	2.03893	0
460	-103	225	247.455	2.0001	0
470	-74	179	193.693	1.96281	0
480	-47	131	139.176	1.91527	0
490	-20	79	81.4923	1.81875	0
500	7	27	27.8927	1.31712	0
510	33	-27	42.638	-0.68573	0
520	58	-81	99.6243	-0.94938	0
530	84	-138	161.555	-1.02401	0
540	109	-194	222.524	-1.0589	0
550	136	-251	285.477	-1.07425	0
560	171	-307	351.411	-1.06259	0
570	208	-363	418.369	-1.05046	0
580	244	-420	485.732	-1.0445	0
590	282	-479	555.846	-1.03871	0
600	320	-539	626.834	-1.03503	0
SourceAmp:	470	MinSinkAmp:	500	MinMagnitude:	27.8927

Amp	Real	Quad	Magnitude	Phase	Overflow
490	-183	-94	205.73	-2.66708	0
491	-18	72	74.2159	1.81577	0
492	-16	68	69.857	1.80189	0
493	-13	62	63.3482	1.77748	0
494	-10	57	57.8705	1.74447	0
495	-8	52	52.6118	1.72345	0
496	-4	46	46.1736	1.65753	0
497	-2	40	40.05	1.62075	0
498	1	35	35.0143	1.54223	0
499	3	30	30.1496	1.47113	0
500	6	25	25.7099	1.33525	0
501	9	20	21.9317	1.14794	0
502	11	14	17.8045	0.904827	0
503	14	8	16.1245	0.519146	0
504	16	4	16.4924	0.244979	0
505	19	-2	19.105	-0.104877	0
506	22	-7	23.0868	-0.308053	0
507	25	-13	28.178	-0.479519	0
508	27	-17	31.9061	-0.561922	0
509	30	-23	37.8021	-0.654083	0
510	32	-28	42.5206	-0.71883	0
SourceAmp:	470	MinSinkAmp:	503	MinMagnitude:	16.1245

