Amp	Real	Quad	Magnitude	Phase	Overflow
0	-1215	-111	1220.06	-3.05049	0
100	-576	-49	578.08	-3.05673	0
200	77	15	78.4474	0.192396	0
300	731	76	734.94	0.103595	0
400	1381	136	1387.68	0.0981628	0
500	2031	197	2040.53	0.0966941	0
600	2665	256	2677.27	0.0957662	0
700	3064	297	3078.36	0.0966302	0
800	3321	328	3337.16	0.0984462	0
900	3571	358	3588.9	0.0999182	0
1000	3801	386	3820.55	0.101205	0
SourceAmp:	209	MinSinkAmp:	200	MinMagnitude:	78.4474

Amp	Real	Quad	Magnitude	Phase	Overflow
100	-566	-47	567.948	-3.05874	0
110	-512	-42	513.72	-3.05974	0
120	-445	-36	446.454	-3.06087	0
130	-379	-29	380.108	-3.06522	0
140	-316	-23	316.836	-3.06894	0
150	-249	-17	249.58	-3.07343	0
160	-183	-10	183.273	-3.087	0
170	-118	-4	118.068	-3.10771	0
180	-51	2	51.0392	3.1024	0
190	13	8	15.2643	0.551655	0
200	77	14	78.2624	0.179853	0
210	145	21	146.513	0.143828	0
220	208	27	209.745	0.129086	0
230	275	33	276.973	0.119429	0
240	342	40	344.331	0.11643	0
250	407	46	409.591	0.112545	0
260	471	52	473.862	0.109958	0
270	535	58	538.135	0.107989	0
280	602	64	605.392	0.105914	0
290	668	70	671.658	0.104409	0
300	731	76	734.94	0.103595	0
SourceAmp:	209	MinSinkAmp:	190	MinMagnitude:	15.2643

Amp	Real	Quad	Magnitude	Phase	Overflow
180	-50	2	50.04	3.10161	0
181	-44	3	44.1022	3.07352	0
182	-38	4	38.2099	3.03672	0
183	-31	4	31.257	3.01327	0
184	-25	5	25.4951	2.9442	0
185	-19	5	19.6469	2.88427	0
186	-12	6	13.4164	2.67795	0
187	-5	7	8.60233	2.19105	0
188	0	7	7	1.5708	0
189	6	8	10	0.927295	0
190	13	9	15.8114	0.605545	0
191	20	9	21.9317	0.422854	0
192	26	10	27.8568	0.367174	0
193	33	11	34.7851	0.321751	0
194	39	11	40.5216	0.27491	0
195	46	12	47.5395	0.255182	0
196	51	12	52.3927	0.231091	0
197	58	13	59.439	0.220494	0
198	65	14	66.4906	0.212144	0
199	71	14	72.3671	0.194686	0
200	77	15	78.4474	0.192396	0
SourceAmp:	209	MinSinkAmp:	188	MinMagnitude:	7

