Amp	Real	Quad	Magnitude	Phase	Overflow
0	87	303	315.243	1.29119	0
100	51	86	99.985	1.03552	0
200	14	-133	133.735	-1.46592	0
300	-23	-353	353.748	-1.63586	0
400	-59	-574	577.024	-1.67322	0
500	-95	-795	800.656	-1.68973	0
600	-130	-1016	1024.28	-1.69806	0
700	-165	-1238	1248.95	-1.70329	0
800	-198	-1460	1473.36	-1.70559	0
900	-230	-1681	1696.66	-1.70678	0
1000	-262	-1901	1918.97	-1.70776	0
SourceAmp:	138	MinSinkAmp:	100	MinMagnitude:	99.985

Amp	Real	Quad	Magnitude	Phase	Overflow
0	87	302	314.282	1.29031	0
10	84	282	294.245	1.28129	0
20	81	260	272.325	1.26879	0
30	77	239	251.098	1.25912	0
40	73	217	228.95	1.24628	0
50	70	195	207.183	1.22615	0
60	66	173	185.162	1.20634	0
70	62	152	164.158	1.1835	0
80	59	129	141.852	1.14184	0
90	55	107	120.308	1.096	0
100	51	86	99.985	1.03552	0
110	47	64	79.404	0.93737	0
120	44	42	60.8276	0.762147	0
130	40	20	44.7214	0.463648	0
140	36	-2	36.0555	-0.0554985	0
150	32	-24	40	-0.643501	0
160	29	-46	54.3783	-1.0083	0
170	25	-67	71.5122	-1.21366	0
180	21	-90	92.4175	-1.34156	0
190	17	-111	112.294	-1.41882	0
200	14	-133	133.735	-1.46592	0
SourceAmp:	138	MinSinkAmp:	140	MinMagnitude:	36.0555

Amp	Real	Quad	Magnitude	Phase	Overflow
130	40	20	44.7214	0.463648	0
131	39	17	42.5441	0.411065	0
132	39	16	42.1545	0.389317	0
133	39	13	41.1096	0.321751	0
134	38	11	39.5601	0.281772	0
135	38	9	39.0512	0.232557	0
136	38	7	38.6394	0.182168	0
137	37	5	37.3363	0.134321	0
138	37	2	37.054	0.0540015	0
139	36	0	36	0	0
140	36	-2	36.0555	-0.0554985	0
141	36	-4	36.2215	-0.110657	0
142	36	-6	36.4966	-0.165149	0
143	35	-8	35.9026	-0.224711	0
144	35	-11	36.6879	-0.304511	0
145	34	-13	36.4005	-0.365201	0
146	34	-15	37.1618	-0.415492	0
147	33	-18	37.5899	-0.499347	0
148	33	-20	38.5876	-0.544864	0
149	33	-22	39.6611	-0.588003	0
150	32	-24	40	-0.643501	0
SourceAmp:	138	MinSinkAmp:	143	MinMagnitude:	35.9026

