Amp	Real	Quad	Magnitude	Phase	Overflow
0	57	302	307.332	1.38425	0
100	15	84	85.3288	1.39409	0
200	-27	-136	138.654	-1.76678	0
300	-69	-357	363.607	-1.76172	0
400	-111	-578	588.562	-1.76053	0
500	-152	-801	815.294	-1.75833	0
600	-193	-1022	1040.06	-1.75744	0
700	-232	-1244	1265.45	-1.75517	0
800	-270	-1467	1491.64	-1.75281	0
900	-308	-1689	1716.85	-1.75117	0
1000	-345	-1909	1939.92	-1.74959	0
SourceAmp:	150	MinSinkAmp:	100	MinMagnitude:	85.3288

Amp	Real	Quad	Magnitude	Phase	Overflow
0	56	302	307.148	1.38745	0
10	53	282	286.937	1.38502	0
20	48	259	263.41	1.38755	0
30	44	238	242.033	1.38799	0
40	40	216	219.672	1.38769	0
50	36	193	196.329	1.38639	0
60	32	172	174.951	1.38685	0
70	28	150	152.591	1.38625	0
80	23	127	129.066	1.39164	0
90	19	106	107.689	1.39343	0
100	15	84	85.3288	1.39409	0
110	11	62	62.9682	1.3952	0
120	6	40	40.4475	1.42191	0
130	2	18	18.1108	1.46014	0
140	-2	-4	4.47214	-2.03444	0
150	-7	-26	26.9258	-1.83379	0
160	-11	-48	49.2443	-1.79607	0
170	-15	-70	71.5891	-1.78189	0
180	-19	-92	93.9415	-1.77445	0
190	-23	-114	116.297	-1.76988	0
200	-28	-136	138.852	-1.77384	0
SourceAmp:	150	MinSinkAmp:	140	MinMagnitude:	4.47214

Amp	Real	Quad	Magnitude	Phase	Overflow
130	2	18	18.1108	1.46014	0
131	1	16	16.0312	1.50838	0
132	1	14	14.0357	1.49949	0
133	1	11	11.0454	1.48014	0
134	0	9	9	1.5708	0
135	0	7	7	1.5708	0
136	-1	5	5.09902	1.76819	0
137	-1	2	2.23607	2.03444	0
138	-1	0	1	3.14159	0
139	-2	-2	2.82843	-2.35619	0
140	-2	-4	4.47214	-2.03444	0
141	-3	-6	6.7082	-2.03444	0
142	-3	-8	8.544	-1.92957	0
143	-3	-10	10.4403	-1.86225	0
144	-4	-13	13.6015	-1.8693	0
145	-4	-15	15.5242	-1.8314	0
146	-5	-18	18.6815	-1.84174	0
147	-5	-20	20.6155	-1.81577	0
148	-6	-22	22.8035	-1.83705	0
149	-6	-24	24.7386	-1.81577	0
150	-6	-26	26.6833	-1.7976	0
SourceAmp:	150	MinSinkAmp:	138	MinMagnitude:	1

