144	213	128	128	
98	220	128	128	
128	226	128	128	
106	211	128	128	
170	162	128	128	
102	148	132	124	
127	74	124	102	
160	87	129	29	
172	98	118	60	
3	158	12	86	
150	220	128	128	
147	226	128	128	
131	233	128	128	
107	218	128	128	
134	168	128	128	
113	152	126	131	
115	78	124	100	
105	92	135	27	
50	255	190	100	
4	185	215	73	
115	220	128	128	
141	225	128	128	
136	227	128	128	
140	212	128	128	
162	164	128	128	
171	148	127	128	
143	75	124	97	
181	88	129	25	
210	90	130	65	
3	112	253	112	
105	215	128	128	
94	221	128	128	
120	229	128	128	
102	214	128	128	
147	166	128	128	
99	147	134	147	
123	75	127	95	
107	210	116	247	
3	121	78	38	
240	85	164	74	
122	215	128	128	
58	221	128	128	
130	234	128	128	
152	218	128	128	
171	167	128	128	
180	150	126	131	
107	76	125	91	
130	88	126	24	
125	92	129	64	
242	100	169	54	
226	216	128	128	
199	222	128	128	
136	229	128	128	
179	214	128	128	
104	166	128	128	
139	147	126	143	
92	76	128	104	
106	90	135	31	
6	239	78	128	
3	128	255	117	
150	212	128	128	
92	219	128	128	
130	232	128	128	
122	217	128	128	
129	168	128	128	
93	149	131	141	
129	75	125	101	
109	89	127	28	
255	84	122	60	
240	84	163	50	
245	214	128	128	
200	220	128	128	
171	231	128	128	
163	216	128	128	
140	168	128	128	
112	148	126	147	
120	76	124	105	
157	90	131	30	
112	89	139	62	
1	161	72	180	
171	211	128	128	
143	217	128	128	
122	233	128	128	
112	217	128	128	
127	166	128	128	
132	150	125	125	
101	75	129	90	
134	88	130	23	
106	87	137	66	
14	95	248	65	
135	214	128	128	
111	221	128	128	
175	231	128	128	
100	217	128	128	
127	168	128	128	
105	150	128	139	
138	77	125	97	
100	91	135	25	
142	92	139	63	
240	97	188	52	
94	215	128	128	
99	221	128	128	
102	230	128	128	
184	213	128	128	
156	164	128	128	
100	148	133	140	
99	75	125	94	
183	87	129	26	
100	88	203	51	
4	102	109	55	
90	213	128	128	
180	219	128	128	
113	235	128	128	
120	219	128	128	
127	169	128	128	
107	150	131	142	
130	77	127	105	
140	90	129	29	
8	231	60	210	
17	106	250	91	
150	210	128	128	
91	217	128	128	
102	247	128	128	
101	231	128	128	
171	179	128	128	
120	158	123	138	
113	80	127	98	
126	100	134	30	
81	88	126	64	
236	95	147	57	
88	214	128	128	
163	219	128	128	
131	229	128	128	
109	214	128	128	
101	165	128	128	
115	148	130	129	
117	75	130	94	
105	89	127	25	
209	88	123	63	
3	90	255	90	
2	206	128	128	
29	216	128	128	
98	232	128	128	
212	215	128	128	
134	165	128	128	
180	146	126	141	
103	75	127	99	
125	88	129	28	
81	90	142	58	
138	99	255	60	
189	214	128	128	
210	220	128	128	
137	215	128	128	
159	201	128	128	
152	157	128	128	
108	151	129	145	
109	87	125	131	
204	167	138	110	
255	91	131	59	
48	100	17	80	
