	None0	
CoarseR0	739.6584608238128	
CoarseR10	988.1756946842823	
CoarseR20	1254.5698042112867	
CoarseR30	1550.175972582414	
CoarseR40	1875.5383166385034	
CoarseR50	2236.7913938387587	
CoarseR60	2642.606000407054	
CoarseR70	3102.9606153037116	
CoarseR80	3624.112320725285	
CoarseR90	4225.345432752341	
CoarseR100	4930.18806301199	
CoarseR110	5758.08215288103	
CoarseR120	6720.520010930838	
CoarseR130	7922.6872309533355	
CoarseR140	9382.074836026852	
CoarseR150	11239.74025705024	
CoarseR160	13708.635729569254	
CoarseR170	17063.10703232964	
CoarseR180	21956.92777270284	
CoarseR190	29819.00212868266	
CoarseR200	44361.911711443	
CoarseR210	80172.43234582602	
CoarseR220	294420.69453759596	
CoarseR230	189851.96126217942	
CoarseR240	75994.86220543916	
CoarseR250	48221.57016973287	
MaxRout:	294420.69453759596	CoarseR:	220	None:	0

	None0	
CoarseR210	81286.45608829455	
CoarseR211	86619.95093680704	
CoarseR212	94326.07638044271	
CoarseR213	103429.7512161509	
CoarseR214	114402.12804780695	
CoarseR215	125593.87349607481	
CoarseR216	145688.4700746127	
CoarseR217	164486.54488961975	
CoarseR218	194756.2348879069	
CoarseR219	238815.8873714992	
CoarseR220	308868.62945908547	
CoarseR221	439987.733827403	
CoarseR222	671039.4566181992	
CoarseR223	1469602.7053357314	
CoarseR224	3591696.382666177	
CoarseR225	806891.2041343669	
CoarseR226	491530.0281533664	
CoarseR227	352185.53775577736	
CoarseR228	274199.78203794523	
CoarseR229	224385.61400860443	
CoarseR230	189851.96126217942	
MaxRout:	3591696.382666177	CoarseR:	224	None:	0

	None0	
FineR0	81193.55717550998	
FineR10	142593.752455515	
FineR20	222089.03361650417	
FineR30	324807.72961952054	
FineR40	437540.33108685754	
FineR50	610928.5059720734	
FineR60	862800.8346145399	
FineR70	1190348.1043372764	
FineR80	1469850.0468603561	
FineR90	2769720.930232558	
FineR100	4971843.829355002	
FineR110	2.419390914709518E7	
FineR120	8437526.9512721	
FineR130	3591696.382666177	
FineR140	2281163.4391040597	
FineR150	2279637.1428571427	
FineR160	2278112.030776405	
FineR170	1670297.4486089149	
FineR180	1669407.1526234832	
FineR190	1668517.3223973685	
FineR200	1317312.7150084318	
FineR210	1316714.1363728333	
FineR220	1097872.6557008296	
FineR230	1097872.6557008296	
FineR240	926706.2467366023	
FineR250	1097429.2060278903	
MaxRout:	2.419390914709518E7	FineR:	110	None:	0

	None0	
FineR100	4971843.829355002	
FineR101	4971843.829355002	
FineR102	4971843.829355002	
FineR103	2.406775783650891E7	
FineR104	2.406775783650891E7	
FineR105	4976575.769132977	
FineR106	2.419390914709518E7	
FineR107	2.419390914709518E7	
FineR108	2.419390914709518E7	
FineR109	2.419390914709518E7	
FineR110	2.419390914709518E7	
FineR111	2.419390914709518E7	
FineR112	8454804.53563715	
FineR113	8454804.53563715	
FineR114	8454804.53563715	
FineR115	2.432147296457427E7	
FineR116	2.432147296457427E7	
FineR117	8437526.9512721	
FineR118	8437526.9512721	
FineR119	8437526.9512721	
FineR120	8437526.9512721	
MaxRout:	2.432147296457427E7	FineR:	115	None:	0

