179	223	128	128	
201	227	128	128	
139	227	128	128	
151	217	128	128	
150	181	128	128	
119	153	130	169	
135	93	130	142	
127	108	132	54	
187	81	119	53	
68	20	130	17	
93	216	128	128	
142	222	128	128	
126	222	128	128	
170	212	128	128	
98	178	128	128	
119	152	131	146	
151	91	124	138	
137	106	125	52	
146	80	138	52	
55	21	130	18	
123	222	128	128	
108	226	128	128	
152	225	128	128	
175	215	128	128	
144	180	128	128	
132	160	126	168	
114	93	125	142	
183	108	122	56	
78	85	140	58	
25	25	139	30	
164	219	128	128	
148	226	128	128	
145	226	128	128	
150	216	128	128	
147	180	128	128	
230	200	7	0	
113	92	133	137	
129	106	128	50	
169	78	131	49	
13	22	229	40	
107	222	128	128	
161	226	128	128	
130	226	128	128	
152	216	128	128	
95	181	128	128	
132	160	130	173	
107	93	129	141	
125	107	128	53	
193	65	127	52	
8	24	210	30	
159	217	128	128	
103	222	128	128	
153	221	128	128	
101	212	128	128	
178	176	128	128	
102	158	133	162	
113	91	126	139	
155	106	127	53	
209	81	119	58	
70	20	133	26	
204	219	128	128	
101	225	128	128	
180	224	128	128	
115	215	128	128	
108	180	128	128	
162	160	132	181	
104	91	129	142	
148	104	127	53	
90	62	126	56	
10	17	232	23	
135	224	128	128	
140	229	128	128	
125	229	128	128	
119	219	128	128	
157	182	128	128	
160	154	127	156	
117	95	126	143	
158	110	128	55	
210	84	133	58	
9	25	230	30	
112	215	128	128	
133	222	128	128	
128	222	128	128	
184	212	128	128	
117	178	128	128	
142	160	123	166	
116	93	130	143	
99	108	126	56	
80	81	137	56	
130	21	131	21	
135	218	128	128	
176	222	128	128	
146	222	128	128	
174	212	128	128	
181	177	128	128	
158	161	127	164	
116	91	128	135	
95	106	127	50	
124	65	122	54	
222	20	141	16	
142	219	128	128	
170	224	128	128	
134	224	128	128	
121	214	128	128	
169	177	128	128	
109	161	124	174	
117	90	131	137	
98	104	131	50	
255	75	120	51	
9	19	255	26	
105	218	128	128	
136	222	128	128	
112	222	128	128	
100	212	128	128	
124	175	128	128	
106	160	132	149	
111	89	126	134	
131	103	125	49	
126	76	127	50	
21	22	247	34	
106	218	128	128	
111	224	128	128	
106	224	128	128	
105	214	128	128	
117	178	128	128	
97	151	128	191	
119	90	129	134	
101	104	131	48	
116	74	127	50	
181	13	133	16	
152	219	128	128	
103	225	128	128	
159	224	128	128	
110	215	128	128	
130	179	128	128	
133	159	126	166	
115	91	133	136	
105	104	130	50	
130	73	131	52	
0	116	255	120	
162	217	128	128	
124	223	128	128	
111	223	128	128	
116	213	128	128	
178	177	128	128	
95	155	123	32	
113	90	130	140	
103	104	128	52	
86	76	127	51	
2	40	255	60	
127	220	128	128	
186	225	128	128	
151	225	128	128	
97	216	128	128	
105	181	128	128	
160	158	123	159	
172	93	128	142	
106	109	127	56	
230	83	119	61	
57	26	130	25	
